,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,History,During what war did the &quot;Cuban Missile Crisis&quot; occur?,Cold War,"['World War I', 'World War II', 'Revolutionary War']"
1,multiple,medium,History,In what year did Neil Armstrong and Buzz Aldrin land on the moon?,1969,"['1965', '1966', '1973']"
2,multiple,medium,History,What was the unofficial name for Germany between 1919 and 1933?,Weimar Republic,"['German Democratic Republic', 'Federal Republic of Germany', 'Oesterreich ']"
3,multiple,medium,History,Which historical conflict killed the most people?,World War II,"['Taiping Rebellion', 'Three Kingdoms War', 'Mongol conquests']"
4,multiple,medium,History,In what year was the video game company Electronic Arts founded?,1982,"['1999', '1981', '2005']"
5,multiple,medium,History,What was the capital of South Vietnam before the Vietnam War?,Saigon,"['Ho Chi Minh City', 'Hanoi', 'Hue']"
6,multiple,medium,History,The Korean War started in what year?,1950,"['1945', '1960', '1912']"
7,multiple,medium,History,Which of his six wives was Henry VIII married to the longest?,Catherine of Aragon,"['Anne Boleyn', 'Jane Seymour', 'Catherine Parr']"
8,multiple,medium,History,The seed drill was invented by which British inventor?,Jethro Tull,"['Charles Babbage', 'Isaac Newton', 'J.J Thomson']"
9,multiple,medium,History,Which country had an &quot;Orange Revolution&quot; between 2004 and 2005?,Ukraine,"['Belarus', 'Latvia', 'Lithuania']"
10,multiple,medium,History,Which U.S. President was in office when the Gulf War began?,George H. W. Bush,"['Richard Nixon', 'George W. Bush ', 'Ronald Regan']"
11,multiple,medium,History,What number does the Roman numeral &quot;D&quot; stand for?,500,"['100', '1000', '50']"
12,multiple,medium,History,What year did the Vietnam War end?,1975,"['1978', '1967', '1969']"
13,multiple,medium,History,What year is considered to be the year that the British Empire ended?,1997,"['1986', '1981', '1971']"
14,multiple,medium,History,What event marked the start of World War II?,Invasion of Poland (1939),"['Invasion of Russia (1942)', 'Battle of Britain (1940)', 'Invasion of Normandy (1944)']"
15,multiple,medium,History,In what year did the First World War end?,1918,"['1914', '1916', '1912']"
16,multiple,medium,History,In what year did Kentucky become the 15th state to join the union?,1792,"['1782', '1798', '1788']"
17,multiple,medium,History,What historical event was Tchaikovsky&#039;s 1812 Overture referencing?,The Napoleonic Wars,"['The American War of 1812', 'The Russian Revolution', 'The Charge of the Light Brigade (Crimean War)']"
18,multiple,medium,History,Which infamous European traitor was known as &quot;the last person to enter Parliament with honest intentions&quot;?,Guy Fawkes,"['Robert Catesby', 'Francis Tresham', 'Everard Digby']"
19,multiple,medium,History,Which Nation DID NOT have a Colony in Modern-day America?,Portugal,"['Spain', 'Sweden', 'Netherlands']"
20,multiple,medium,History,"Which building was set aflame on August 24th, 1812?",The White House,"['Parliament Building', 'Grand National Assembly Building', 'Palace of the Nation']"
21,multiple,medium,History,When was the Grand Patriotic War in the USSR concluded?,"May 9th, 1945","['September 2nd, 1945', 'August 9th, 1945', 'December 11th, 1945']"
22,multiple,medium,History,What is the oldest US state?,Delaware,"['Rhode Island', 'Maine', 'Virginia']"
23,multiple,medium,History,What was Genghis Khan&#039;s real name?,Tem&uuml;jin,"['M&ouml;ngke', '&Ouml;gedei', 'Tem&uuml;r']"
24,multiple,medium,History,"When did the United States formally declare war on Japan, entering World War II?","December 8, 1941","['June 6, 1944', 'June 22, 1941', 'September 1, 1939']"
25,multiple,medium,History,Who is attributed credit for recording the epic poem The Odyssey?,Homer,"['Aristotle', 'Odysseus', 'Socrates']"
26,multiple,medium,History,Which Louis was known as &#039;The Sun King of France&#039;?,Louis XIV,"['Louis XIII', 'Louis XV', 'Louis XVI']"
27,multiple,medium,History,When did Jamaica recieve its independence from England? ,1962,"['1492', '1963', '1987']"
28,multiple,medium,History,In which years did the Battle of Gallipoli take place?,1915 - 1916,"['1914 - 1918', '1914 - 1915', '1915 - 1918']"
29,multiple,medium,History,What is the name of the US Navy spy ship which was attacked and captured by North Korean forces in 1968?,USS Pueblo,"['USS North Carolina', 'USS Constitution', 'USS Indianapolis']"
30,multiple,medium,History,America&#039;s Strategic Defense System during the Cold War was nicknamed after this famous movie.,Star Wars,"['Jaws', 'Blade Runner', 'Alien']"
31,multiple,medium,History,Who crowned Charlemagne as Holy Roman Emperor on Christmas Day in 800?,Pope Leo III,"['Pope Urban IV', 'Pope Stephen V', 'Pope Valentine']"
32,multiple,medium,History,When did the British hand-over sovereignty of Hong Kong back to China?,1997,"['1999', '1841', '1900']"
33,multiple,medium,History,In what year did Texas secede from Mexico?,1836,"['1838', '1845', '1844']"
34,multiple,medium,History,Adolf Hitler was born on which date?,"April 20, 1889","['June 12, 1889', 'February 6, 1889', 'April 16, 1889']"
