,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,Science: Computers,HTML is what type of language?,Markup Language,"['Macro Language', 'Programming Language', 'Scripting Language']"
1,multiple,easy,Science: Computers,Which programming language shares its name with an island in Indonesia?,Java,"['Python', 'C', 'Jakarta']"
2,multiple,easy,Science: Computers,What does CPU stand for?,Central Processing Unit,"['Central Process Unit', 'Computer Personal Unit', 'Central Processor Unit']"
3,multiple,easy,Science: Computers,Which computer language would you associate Django framework with?,Python,"['C#', 'C++', 'Java']"
4,multiple,easy,Science: Computers,What is the most preferred image format used for logos in the Wikimedia database?,.svg,"['.png', '.jpeg', '.gif']"
5,multiple,easy,Science: Computers,How long is an IPv6 address?,128 bits,"['32 bits', '64 bits', '128 bytes']"
6,multiple,easy,Science: Computers,What does GHz stand for?,Gigahertz,"['Gigahotz', 'Gigahetz', 'Gigahatz']"
7,multiple,easy,Science: Computers,"In web design, what does CSS stand for?",Cascading Style Sheet,"['Counter Strike: Source', 'Corrective Style Sheet', 'Computer Style Sheet']"
8,multiple,easy,Science: Computers,How many values can a single byte represent?,256,"['8', '1', '1024']"
9,multiple,easy,Science: Computers,What does the computer software acronym JVM stand for?,Java Virtual Machine,"['Java Vendor Machine', 'Java Visual Machine', 'Just Virtual Machine']"
10,multiple,easy,Science: Computers,What language does Node.js use?,JavaScript,"['Java', 'Java Source', 'Joomla Source Code']"
11,multiple,easy,Science: Computers,This mobile OS held the largest market share in 2012.,iOS,"['Android', 'BlackBerry', 'Symbian']"
12,multiple,easy,Science: Computers,What does LTS stand for in the software market?,Long Term Support,"['Long Taco Service', 'Ludicrous Transfer Speed', 'Ludicrous Turbo Speed']"
13,multiple,easy,Science: Computers,"In &quot;Hexadecimal&quot;, what color would be displayed from the color code? &quot;#00FF00&quot;?",Green,"['Red', 'Blue', 'Yellow']"
14,multiple,easy,Science: Computers,What does the &quot;MP&quot; stand for in MP3?,Moving Picture,"['Music Player', 'Multi Pass', 'Micro Point']"
