,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Science: Computers,Which of the following computer components can be built using only NAND gates?,ALU,"['CPU', 'RAM', 'Register']"
1,multiple,hard,Science: Computers,Who invented the &quot;Spanning Tree Protocol&quot;?,Radia Perlman,"['Paul Vixie', 'Vint Cerf', 'Michael Roberts']"
2,multiple,hard,Science: Computers,What was the first company to use the term &quot;Golden Master&quot;?,Apple,"['IBM', 'Microsoft', 'Google']"
3,multiple,hard,Science: Computers,Which RAID array type is associated with data mirroring?,RAID 1,"['RAID 0', 'RAID 10', 'RAID 5']"
4,multiple,hard,Science: Computers,What was the name of the first Bulgarian personal computer?,IMKO-1,"['Pravetz 82', 'Pravetz 8D', 'IZOT 1030']"
5,multiple,hard,Science: Computers,The acronym &quot;RIP&quot; stands for which of these?,Routing Information Protocol,"['Runtime Instance Processes', 'Regular Interval Processes', 'Routine Inspection Protocol']"
6,multiple,hard,Science: Computers,What was the name of the security vulnerability found in Bash in 2014?,Shellshock,"['Heartbleed', 'Bashbug', 'Stagefright']"
7,multiple,hard,Science: Computers,Which kind of algorithm is Ron Rivest not famous for creating?,Secret sharing scheme,"['Hashing algorithm', 'Asymmetric encryption', 'Stream cipher']"
8,multiple,hard,Science: Computers,What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport,"['Session', 'Data link', 'Network']"
9,multiple,hard,Science: Computers,Which of these Cherry MX mechanical keyboard switches is both tactile and clicky?,Cherry MX Blue,"['Cherry MX Black', 'Cherry MX Red', 'Cherry MX Brown']"
10,multiple,hard,Science: Computers,"Released in 2001, the first edition of Apple&#039;s Mac OS X operating system (version 10.0) was given what animal code name?",Cheetah,"['Puma', 'Tiger', 'Leopard']"
11,multiple,hard,Science: Computers,"According to DeMorgan&#039;s Theorem, the Boolean expression (AB)&#039; is equivalent to:",A&#039; + B&#039;,"['A&#039;B + B&#039;A', 'A&#039;B&#039;', 'AB&#039; + AB']"
12,multiple,hard,Science: Computers,Which of these was the name of a bug found in April 2014 in the publicly available OpenSSL cryptography library?,Heartbleed,"['Shellshock', 'Corrupted Blood', 'Shellscript']"
13,multiple,hard,Science: Computers,Who is the founder of Palantir?,Peter Thiel,"['Mark Zuckerberg', 'Marc Benioff', 'Jack Dorsey']"
14,multiple,hard,Science: Computers,Who is the original author of the realtime physics engine called PhysX?,NovodeX,"['Ageia', 'Nvidia', 'AMD']"
15,multiple,hard,Science: Computers,Which of these is not a key value of Agile software development?,Comprehensive documentation,"['Individuals and interactions', 'Customer collaboration', 'Responding to change']"
16,multiple,hard,Science: Computers,What does the International System of Quantities refer 1024 bytes as?,Kibibyte,"['Kylobyte', 'Kilobyte', 'Kelobyte']"
17,multiple,hard,Science: Computers,What type of sound chip does the Super Nintendo Entertainment System (SNES) have?,ADPCM Sampler,"['FM Synthesizer', 'Programmable Sound Generator (PSG)', 'PCM Sampler']"
18,multiple,hard,Science: Computers,The Harvard architecture for micro-controllers added which additional bus?,Instruction,"['Address', 'Data', 'Control']"
19,multiple,hard,Science: Computers,"Lenovo acquired IBM&#039;s personal computer division, including the ThinkPad line of laptops and tablets, in what year?",2005,"['1999', '2002', '2008']"
