,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,General Knowledge,What are the three starter Pokemon available in Pokemon Black and White?,"Snivy, Tepig, Oshawott","['Snivy, Fennekin, Froakie', 'Chespin, Tepig, Froakie', 'Chespin, Fennekin, Oshawott']"
1,multiple,medium,General Knowledge,What is the name of the very first video uploaded to YouTube?,Me at the zoo,"['tribute', 'carrie rides a truck', 'Her new puppy from great grandpa vern.']"
2,multiple,medium,General Knowledge,The architect known as Le Corbusier was an important figure in what style of architecture?,Modernism,"['Neoclassical', 'Baroque', 'Gothic Revival']"
3,multiple,medium,General Knowledge,What is the Italian word for &quot;tomato&quot;?,Pomodoro,"['Aglio', 'Cipolla', 'Peperoncino']"
4,multiple,medium,General Knowledge,What is the currency of Poland?,Złoty,"['Ruble', 'Euro', 'Krone']"
5,multiple,medium,General Knowledge,"The Fields Medal, one of the most sought after awards in mathematics, is awarded every how many years?",4,"['3', '5', '6']"
6,multiple,medium,General Knowledge,"What is the name of the popular animatronic singing fish prop, singing such hits such as &quot;Don&#039;t Worry, Be Happy&quot;?",Big Mouth Billy Bass,"['Big Billy Bass', 'Singing Fish', 'Sardeen']"
7,multiple,medium,General Knowledge,"Linus Pauling, one of the only winners of multiple Nobel Prizes, earned his Nobel Prizes in Chemistry and what?",Peace,"['Physics', 'Economics', 'Physiology/Medicine']"
8,multiple,medium,General Knowledge,What was the original name of the search engine &quot;Google&quot;?,BackRub,"['CatMassage', 'SearchPro', 'Netscape Navigator']"
9,multiple,medium,General Knowledge,Frank Lloyd Wright was the architect behind what famous building?,The Guggenheim,"['Villa Savoye', 'Sydney Opera House', 'The Space Needle']"
10,multiple,medium,General Knowledge,Which iconic Disneyland attraction was closed in 2017 to be remodeled as a &quot;Guardians of the Galaxy&quot; themed ride?,Twilight Zone Tower of Terror,"['The Haunted Mansion', 'Pirates of the Caribbean', 'Peter Pan&#039;s Flight']"
11,multiple,medium,General Knowledge,Where did the pineapple plant originate?,South America,"['Hawaii', 'Europe', 'Asia']"
12,multiple,medium,General Knowledge,Which item of clothing is usually worn by a Scotsman at a wedding?,Kilt,"['Skirt', 'Dress', 'Rhobes']"
13,multiple,medium,General Knowledge,What is the last letter of the Greek alphabet?,Omega,"['Mu', 'Epsilon', 'Kappa']"
14,multiple,medium,General Knowledge,What is the defining characteristic of someone who is described as hirsute?,Hairy,"['Rude', 'Funny', 'Tall']"
15,multiple,medium,General Knowledge,"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",Jumping over an office chair,"['Jumping backwards over a desk', 'Standing on his head', 'Typing on a keyboard during a handstand']"
16,multiple,medium,General Knowledge,Who is the founder of &quot;The Lego Group&quot;?,Ole Kirk Christiansen,"[' Jens Niels Christiansen', 'Kirstine Christiansen', ' Gerhardt Kirk Christiansen']"
17,multiple,medium,General Knowledge,"According to the United States&#039; CDC, one in how many Americans die annually due to smoking?",Five,"['Twenty', 'Ten', 'One hundred']"
18,multiple,medium,General Knowledge,What year was Apple Inc. founded?,1976,"['1978', '1980', '1974']"
19,multiple,medium,General Knowledge,What is a Burgee?,A flag,"['A rope', 'A window', 'A type of food']"
20,multiple,medium,General Knowledge,The Mexican Beer &quot;Corona&quot; is what type of beer?,Pale Lager,"['India Pale Ale', 'Pilfsner', 'Baltic Porter']"
21,multiple,medium,General Knowledge,"In ancient Greece, if your job were a &quot;hippeus&quot; which of these would you own?",Horse,"['Weave', 'Guitar', 'Boat']"
22,multiple,medium,General Knowledge,What is the Swedish word for &quot;window&quot;?,F&ouml;nster,"['H&aring;l', 'Sk&auml;rm', 'Ruta']"
23,multiple,medium,General Knowledge,Which country drives on the left side of the road?,Japan,"['Germany', 'Russia', 'China']"
24,multiple,medium,General Knowledge,Who is a co-founder of music streaming service Spotify?,Daniel Ek,"['Sean Parker', 'Felix Miller', 'Michael Breidenbruecker']"
