,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,History,"In 1939, Britain and France declared war on Germany after it invaded which country?",Poland,"['Czechoslovakia', 'Austria', 'Hungary']"
1,multiple,easy,History,What country joined the EU in 2013?,Croatia,"['Bulgaria', 'Slovenia', 'Turkey']"
2,multiple,easy,History,How long did World War II last?,6 years,"['4 years', '5 years', '7 years']"
3,multiple,easy,History,On what street did the 1666 Great Fire of London start?,Pudding Lane,"['Baker Street', 'Houses of Parliament', 'St Paul&#039;s Cathedral']"
4,multiple,easy,History,The Ottoman Empire was dissolved after their loss in which war?,World War I,"['Crimean War', 'Serbian Revolution', 'Second Balkan War']"
5,multiple,easy,History,Which modern country is known as &quot;The Graveyard of Empires&quot;?,Afghanistan,"['China', 'Iraq', 'Russia']"
6,multiple,easy,History,"During WWII, in 1945, the United States dropped atomic bombs on the two Japanese cities of Hiroshima and what other city?",Nagasaki,"['Kawasaki', 'Tokyo', 'Kagoshima']"
7,multiple,easy,History,"Who was among those killed in the 2010 Smolensk, Russia plane crash tragedy?",The Polish President,"['Pope John Paul II', 'Bang-Ding Ow', 'Albert Putin']"
8,multiple,easy,History,How many manned moon landings have there been?,6,"['1', '3', '7']"
9,multiple,easy,History,To what political party did Abraham Lincoln belong when elected POTUS?,Republican,"['Democrat', 'Independent', 'Whig']"
10,multiple,easy,History,When did the Battle of the Somme begin?,"July 1st, 1916","['August 1st, 1916', 'July 2nd, 1916', 'June 30th, 1916']"
11,multiple,easy,History,The collapse of the Soviet Union took place in which year?,1991,"['1992', '1891', '1990']"
12,multiple,easy,History,Which country was Josef Stalin born in?,Georgia,"['Russia', 'Germany', 'Poland']"
13,multiple,easy,History,Which one of these tanks was designed and operated by the United Kingdom?,Tog II,"['M4 Sherman', 'Tiger H1', 'T-34']"
14,multiple,easy,History,Which German field marshal was known as the `Desert Fox`?,Erwin Rommel,"['Ernst Busch', 'Wolfram Freiherr von Richthofen', 'Wilhelm List']"
15,multiple,easy,History,What year did World War I begin?,1914,"['1905', '1919', '1925']"
16,multiple,easy,History,Who was the first president of the United States?,George Washington,"['James Madison', 'Thomas Jefferson', 'James K. Polk']"
17,multiple,easy,History,Who was the first prime minister of Canada?,John Macdonald,"['John Abbott', 'Alexander Mackenzie', 'Robert Borden']"
18,multiple,easy,History,Which of these countries remained neutral during World War II?,Switzerland,"['United Kingdom', 'France', 'Italy']"
