,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,Entertainment: Books,What is the name of Sherlock Holmes&#039;s brother?,Mycroft Holmes,"['Mederi Holmes', 'Martin Holmes', 'Herbie Hancock Holmes']"
1,multiple,easy,Entertainment: Books,How many Harry Potter books are there?,7,"['8', '5', '6']"
2,multiple,easy,Entertainment: Books,Who wrote &quot;A Tale of Two Cities&quot;?,Charles Dickens,"['Charles Darwin', 'Mark Twain', 'Roald Dahl']"
3,multiple,easy,Entertainment: Books,"What was the name of Captain Nemo&#039;s submarine in &quot;20,000 Leagues Under the Sea&quot;?",The Nautilus,"['The Neptune', 'The Poseidon  ', 'The Atlantis']"
4,multiple,easy,Entertainment: Books,Which famous book is sub-titled &#039;The Modern Prometheus&#039;?,Frankenstein,"['Dracula', 'The Strange Case of Dr. Jekyll and Mr. Hyde ', 'The Legend of Sleepy Hollow']"
5,multiple,easy,Entertainment: Books,What is the name of the protagonist of J.D. Salinger&#039;s novel Catcher in the Rye?,Holden Caulfield,"['Fletcher Christian', 'Jay Gatsby', 'Randall Flagg']"
6,multiple,easy,Entertainment: Books,"George Orwell wrote this book, which is often considered a statement on government oversight.",1984,"['The Old Man and the Sea', 'Catcher and the Rye', 'To Kill a Mockingbird']"
7,multiple,easy,Entertainment: Books,Who wrote the young adult novel &quot;The Fault in Our Stars&quot;?,John Green,"['Stephenie Meyer', 'Suzanne Collins', 'Stephen Chbosky']"
8,multiple,easy,Entertainment: Books,Who wrote the novel &#039;Fear And Loathing In Las Vegas&#039;?,Hunter S. Thompson,"['F. Scott Fitzgerald', 'Henry Miller', 'William S. Burroughs']"
9,multiple,easy,Entertainment: Books,What&#039;s the second book in George R. R. Martin&#039;s &#039;A Song of Ice and Fire&#039; series?,A Clash of Kings,"['A Dance with Dragons', 'A Storm of Swords', 'A Feast for Crows']"
10,multiple,easy,Entertainment: Books,Which of the following is the world&#039;s best-selling book?,The Lord of the Rings,"['The Little Prince', 'Harry Potter and the Philosopher&#039;s Stone', 'The Da Vinci Code']"
11,multiple,easy,Entertainment: Books,Who wrote &quot;Harry Potter&quot;?,J.K. Rowling,"['J.R.R. Tolkien', 'Terry Pratchett', 'Daniel Radcliffe']"
12,multiple,easy,Entertainment: Books,Which is NOT a book in the Harry Potter Series?,The House Elf,"['The Chamber of Secrets', 'The Prisoner of Azkaban', 'The Deathly Hallows']"
13,multiple,easy,Entertainment: Books,What was Sir Handel&#039;s original name in &quot;The Railway Series&quot; and it&#039;s animated counterpart &quot;Thomas and Friends?&quot;,Falcon,"['Eagle', 'Kyte', 'Swallow']"
14,multiple,easy,Entertainment: Books,What is the title of the first Sherlock Holmes book by Arthur Conan Doyle?,A Study in Scarlet,"['The Sign of the Four', 'A Case of Identity', 'The Doings of Raffles Haw']"
15,multiple,easy,Entertainment: Books,Under what pseudonym did Stephen King publish five novels between 1977 and 1984?,Richard Bachman,"['J. D. Robb', 'Mark Twain', 'Lewis Carroll']"
16,multiple,easy,Entertainment: Books,&quot;Green Eggs And Ham&quot; is a book by which author?,Dr. Seuss,"['Beatrix Potter', 'Roald Dahl', 'A.A. Milne']"
17,multiple,easy,Entertainment: Books,What&#039;s Harry Potter&#039;s dad&#039;s name?,James Potter,"['Joey Potter', 'Frank Potter', 'Hairy Potter Sr.']"
18,multiple,easy,Entertainment: Books,"In the novel 1984, written by George Orwell, what is the name of the totalitarian regime that controls Oceania?",INGSOC,"['Neo-Bolshevism', 'Obliteration of the Self', 'Earth Alliance']"
19,multiple,easy,Entertainment: Books,"Who was the author of the 1954 novel, &quot;Lord of the Flies&quot;?",William Golding,"['Stephen King', 'F. Scott Fitzgerald', 'Hunter Fox']"
