,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Sports,Where was the Games of the XXII Olympiad held?,Moscow,"['Barcelona', 'Tokyo', 'Los Angeles']"
1,multiple,hard,Sports,Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Ma Long (China),"['Zhang Jike (China)', 'Jun Mizutani (Japan)', 'Vladimir Samsonov (Belarus)']"
2,multiple,hard,Sports,"Which Italian footballer told Neuer where he&#039;s putting his shot and dragging it wide, during the match Italy-Germany, UEFA EURO 2016?",Pelle,"['Insigne', 'Barzagli', 'Giaccherini']"
3,multiple,hard,Sports,Which player &quot;kung-fu kicked&quot; a Crystal Palace fan in January 1995?,Eric Cantona,"['David Seamen', 'Ashley Cole', 'Mark Hughes']"
4,multiple,hard,Sports,Which car company is the only Japanese company which won the 24 Hours of Le Mans?,Mazda,"['Toyota', 'Subaru', 'Nissan']"
5,multiple,hard,Sports,What team did England beat in the semi-final stage to win in the 1966 World Cup final?,Portugal,"['West Germany', 'Soviet Union', 'Brazil']"
6,multiple,hard,Sports,Which female player won the gold medal of table tennis singles in 2016 Olympics Games?,DING Ning (China),"['LI Xiaoxia (China)', 'Ai FUKUHARA (Japan)', 'Song KIM (North Korea)']"
7,multiple,hard,Sports,What tool lends it&#039;s name to a last-stone advantage in an end in Curling?,Hammer,"['Wrench', 'Drill', 'Screwdriver']"
8,multiple,hard,Sports,How many times did Martina Navratilova win the Wimbledon Singles Championship?,Nine,"['Ten', 'Seven', 'Eight']"
9,multiple,hard,Sports,Which English football team is nicknamed &#039;The Tigers&#039;?,Hull City,"['Cardiff City', 'Bristol City', 'Manchester City']"
10,multiple,hard,Sports,"In Canadian football, scoring a rouge is worth how many points?",1,"['2', '3', '4']"
11,multiple,hard,Sports,With which doubles partner did John McEnroe have most success?,Peter Fleming,"['Mark Woodforde', 'Michael Stich', 'Mary Carillo']"
12,multiple,hard,Sports,Which of these Russian cities did NOT contain a stadium that was used in the 2018 FIFA World Cup?,Vladivostok,"['Rostov-on-Don', 'Yekaterinburg', 'Kaliningrad']"
13,multiple,hard,Sports,Who is Manchester United&#039;s leading appearance maker?,Ryan Giggs,"['David Beckham', 'Wayne Rooney', 'Eric Cantona']"
14,multiple,hard,Sports,What is &ldquo;The Sport of Kings&rdquo;?,Horse Racing,"['Chess', 'Jousting', 'Fencing']"
15,multiple,hard,Sports,Which city features all of their professional sports teams&#039; jersey&#039;s with the same color scheme?,Pittsburgh,"['New York', 'Seattle', 'Tampa Bay']"
16,multiple,hard,Sports,Which year was the third Super Bowl held?,1969,"['1968', '1971', '1970']"
17,multiple,hard,Sports,The AHL affiliate team of the Boston Bruins is named what?,Providence Bruins,"['New Haven Bruins', 'Cambridge Bruins', 'Hartford Bruins']"
18,multiple,hard,Sports,What is the full name of the footballer &quot;Cristiano Ronaldo&quot;?,Cristiano Ronaldo dos Santos Aveiro,"['Cristiano Ronaldo los Santos Diego', 'Cristiano Armando Diego Ronaldo', 'Cristiano Luis Armando Ronaldo']"
19,multiple,hard,Sports,The Mazda 787B won the 24 Hours of Le Mans in what year?,1991,"['1990', '2000', '1987']"
0,multiple,hard,Sports,What is &ldquo;The Sport of Kings&rdquo;?,Horse Racing,"['Chess', 'Jousting', 'Fencing']"
1,multiple,hard,Sports,Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Ma Long (China),"['Zhang Jike (China)', 'Jun Mizutani (Japan)', 'Vladimir Samsonov (Belarus)']"
2,multiple,hard,Sports,"In Canadian football, scoring a rouge is worth how many points?",1,"['2', '3', '4']"
3,multiple,hard,Sports,"Which Italian footballer told Neuer where he&#039;s putting his shot and dragging it wide, during the match Italy-Germany, UEFA EURO 2016?",Pelle,"['Insigne', 'Barzagli', 'Giaccherini']"
4,multiple,hard,Sports,Which of these Russian cities did NOT contain a stadium that was used in the 2018 FIFA World Cup?,Vladivostok,"['Rostov-on-Don', 'Yekaterinburg', 'Kaliningrad']"
5,multiple,hard,Sports,What is the full name of the footballer &quot;Cristiano Ronaldo&quot;?,Cristiano Ronaldo dos Santos Aveiro,"['Cristiano Ronaldo los Santos Diego', 'Cristiano Armando Diego Ronaldo', 'Cristiano Luis Armando Ronaldo']"
6,multiple,hard,Sports,What tool lends it&#039;s name to a last-stone advantage in an end in Curling?,Hammer,"['Wrench', 'Drill', 'Screwdriver']"
7,multiple,hard,Sports,What team did England beat in the semi-final stage to win in the 1966 World Cup final?,Portugal,"['West Germany', 'Soviet Union', 'Brazil']"
8,multiple,hard,Sports,Which car company is the only Japanese company which won the 24 Hours of Le Mans?,Mazda,"['Toyota', 'Subaru', 'Nissan']"
9,multiple,hard,Sports,How many times did Martina Navratilova win the Wimbledon Singles Championship?,Nine,"['Ten', 'Seven', 'Eight']"
10,multiple,hard,Sports,Which year was the third Super Bowl held?,1969,"['1968', '1971', '1970']"
11,multiple,hard,Sports,The AHL affiliate team of the Boston Bruins is named what?,Providence Bruins,"['New Haven Bruins', 'Cambridge Bruins', 'Hartford Bruins']"
12,multiple,hard,Sports,With which doubles partner did John McEnroe have most success?,Peter Fleming,"['Mark Woodforde', 'Michael Stich', 'Mary Carillo']"
13,multiple,hard,Sports,Which city features all of their professional sports teams&#039; jersey&#039;s with the same color scheme?,Pittsburgh,"['New York', 'Seattle', 'Tampa Bay']"
14,multiple,hard,Sports,Where was the Games of the XXII Olympiad held?,Moscow,"['Barcelona', 'Tokyo', 'Los Angeles']"
15,multiple,hard,Sports,The Mazda 787B won the 24 Hours of Le Mans in what year?,1991,"['1990', '2000', '1987']"
16,multiple,hard,Sports,Which player &quot;kung-fu kicked&quot; a Crystal Palace fan in January 1995?,Eric Cantona,"['David Seamen', 'Ashley Cole', 'Mark Hughes']"
17,multiple,hard,Sports,Which female player won the gold medal of table tennis singles in 2016 Olympics Games?,DING Ning (China),"['LI Xiaoxia (China)', 'Ai FUKUHARA (Japan)', 'Song KIM (North Korea)']"
18,multiple,hard,Sports,Which English football team is nicknamed &#039;The Tigers&#039;?,Hull City,"['Cardiff City', 'Bristol City', 'Manchester City']"
19,multiple,hard,Sports,Who is Manchester United&#039;s leading appearance maker?,Ryan Giggs,"['David Beckham', 'Wayne Rooney', 'Eric Cantona']"
