,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Entertainment: Music,Which company did the animation for Peter Gabriel&#039;s Video Sledgehammer (1986)?,Aardman Animations,"['HIT Entertainment', 'Illumination Entertainment', 'VIZ Media']"
1,multiple,hard,Entertainment: Music,What year was Min Yoongi from South Korea boy band &quot;BTS&quot; born in?,1993,"['1992', '1995', '1994']"
2,multiple,hard,Entertainment: Music,Which Death Grips album is the only one to feature a band member?,No Love Deep Web,"['Bottomless Pit', 'The Money Store', 'The Powers That B']"
3,multiple,hard,Entertainment: Music,When did the rapper Eazy-E die?,"March 26, 1995","['July 11, 1992', 'February 14, 1993', 'October 21, 1994']"
4,multiple,hard,Entertainment: Music,Which song in rapper Kanye West&#039;s album &quot;The Life of Pablo&quot; features Rihanna?,Famous,"['Wolves', 'Ultralight Beam', 'Highlights']"
5,multiple,hard,Entertainment: Music,Which lyric is about Red Hot Chili Peppers frontman Anthony Kiedis?,&quot;A rainy Lithuanian / Is dancing as an Indian&quot;,"['&quot;Fly away on, my zephyr / I feel it more than ever&quot;', '&quot;And I liked the dimple in your chin / Your pale blue eyes&quot;', '&quot;You used to be so warm and affectionate...but now you&#039;re quick to get into your regret&quot;']"
6,multiple,hard,Entertainment: Music,Chino Moreno is the lead singer of which alternative metal band?,Deftones,"['Tool', 'Korn', 'Type O Negative']"
7,multiple,hard,Entertainment: Music,"In the Panic! At the Disco&#039;s song &quot;Nothern Downpour&quot;, which lyric follows &#039;I know the world&#039;s a broken bone&#039;.",&quot;So melt your headaches call it home&quot;,"['&quot;So sing your song until you&#039;re home&quot;', '&quot;So let them know they&#039;re on their own&quot;', '&quot;So start a fire in their cold stone&quot;']"
8,multiple,hard,Entertainment: Music,Who was the original drummer for The Beatles?,Tommy Moore,"['Ringo Starr', 'Stuart Sutcliffe', 'Pete Best']"
9,multiple,hard,Entertainment: Music,Who was not in the band &quot;The Smiths&quot;?,Martin Chambers,"['Morrissey', 'Andy Rourke', 'Mike Joyce']"
10,multiple,hard,Entertainment: Music,A Caixa Malacacheta is what kind of musical instrument which is commonly used in Latin American music?,Snare Drum,"['Cow Bell', 'Bass Drum', 'Maraca']"
11,multiple,hard,Entertainment: Music,Which album was released by Kanye West in 2013?,Yeezus,"['My Beautiful Dark Twisted Fantasy', 'The Life of Pablo', 'Watch the Throne']"
12,multiple,hard,Entertainment: Music,How many members are there in the idol group &quot;&micro;&#039;s&quot;?,9,"['48', '6', '3']"
13,multiple,hard,Entertainment: Music,What is the first track on the Dave Matthews Band album &quot;Before These Crowded Streets&quot;?,Pantala Naga Pampa,"['Stay (Wasting Time)', 'Rapunzel', 'Don&#039;t Drink The Water']"
14,multiple,hard,Entertainment: Music,What is the stage name of New Zealand singer Phillipa &quot;Pip&quot; Brown?,Ladyhawke,"['Lorde', 'Kesha', 'Anika Moa']"
15,multiple,hard,Entertainment: Music,Who had a 1981 hit with the song &quot;Japanese Boy&quot;?,Aneka,"['Toyah', 'Sandra', 'Madonna']"
16,multiple,hard,Entertainment: Music,Which of these songs is NOT included in the Suicide Squad OST?,Skies on Fire - AC/DC,"['Heathens - Twenty One Pilots', 'Without Me - Eminem', 'Fortunate Son - Creedence Clearwater Revival']"
17,multiple,hard,Entertainment: Music,Pete Townshend collaborated with which famous guitarist for an event at Brixton Academy in 1985?,David Gilmour,"['Jimmy Page', 'Mark Knopfler', 'Eric Clapton']"
18,multiple,hard,Entertainment: Music,What was the last Aphex Twin album released before his decade-long hiatus?,Drukqs,"['Windowlicker', 'Syro', 'Collected Ambient Works 85-92']"
19,multiple,hard,Entertainment: Music,Which of the following is NOT a real song from the band Thousand Foot Krutch?,Limitless Fury,"['Let The Sparks Fly', 'Down', 'Give Up The Ghost']"
20,multiple,hard,Entertainment: Music,Who wrote the song &quot;You Know You Like It&quot;?,AlunaGeorge,"['DJ Snake', 'Steve Aoki', 'Major Lazer']"
21,multiple,hard,Entertainment: Music,What is the English title of the vaporwave track &quot;リサフランク420 / 現代のコンピュー&quot; by Macintosh Plus (Vektroid)?,Lisa Frank 420 / Modern Computing,"['Smoke Weed 420 / Everyday', 'Make Your Move 420 / My Mind', 'It&#039;s All In Your Head 420 / Understand']"
22,multiple,hard,Entertainment: Music,What year did Dire Straits&#039;s Song &quot;Money for Nothing&quot; release?,1985,"['1973', '1980', '1991']"
23,multiple,hard,Entertainment: Music,What is the name of the 2016 mixtape released by Venezuelan electronic producer Arca?,Entra&ntilde;as,"['&amp;&amp;&amp;&amp;&amp;&amp;', 'Sheep', 'Xen']"
