,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Geography,The prefix Sino- (As in Sino-American) is used to refer to what nationality?,Chinese,"['Japanese', 'Russian', 'Indian']"
1,multiple,hard,Geography,Which is not a country in Africa?,Guyana,"['Senegal', 'Liberia', 'Somalia']"
2,multiple,hard,Geography,What country is not a part of Scandinavia?,Finland,"['Norway', 'Sweden', 'Denmark']"
3,multiple,hard,Geography,Which of these is NOT a real tectonic plate?,Atlantic Plate,"['North American Plate', 'Eurasian Plate', 'Nazca Plate']"
4,multiple,hard,Geography,What is the official German name of the Swiss Federal Railways?,Schweizerische Bundesbahnen,"['Schweizerische Nationalbahnen', 'Bundesbahnen der Schweiz', 'Schweizerische Staatsbahnen']"
5,multiple,hard,Geography,Which of these island countries is located in the Caribbean?,Barbados,"['Fiji', 'Maldives', 'Seychelles']"
6,multiple,hard,Geography,What North American tourist attraction is served by the &quot;Maid of the Mist&quot; tour company?,Niagara Falls,"['Whistler, British Columbia', 'Disney World', 'Yosemite National Park']"
7,multiple,hard,Geography,Which of these cities has a 4&deg; East longitude. ,Amsterdam,"['Rio de Janero', 'Toronto', 'Hong Kong']"
8,multiple,hard,Geography,What is the area of Vatican City?,0.44km^2,"['0.10km^2', '0.86km^2', '12.00km^2']"
9,multiple,hard,Geography,What is the land connecting North America and South America?,Isthmus of Panama,"['Isthmus of Suez', 'Urals', 'Australasia']"
10,multiple,hard,Geography,Which of these cities is NOT in England?,Edinburgh,"['Oxford', 'Manchester', 'Southampton']"
11,multiple,hard,Geography,What is the tallest mountain in Canada?,Mount Logan,"['Mont Tremblant', 'Whistler Mountain', 'Blue Mountain']"
12,multiple,hard,Geography,The emblem on the flag of the Republic of Tajikistan features a sunrise over mountains below what symbol?,Crown,"['Bird', 'Sickle', 'Tree']"
13,multiple,hard,Geography,How many countries border Kyrgyzstan?,4,"['3', '1', '6']"
14,multiple,hard,Geography,What year is on the flag of the US state Wisconsin?,1848,"['1634', '1783', '1901']"
15,multiple,hard,Geography,What is the name of the Canadian national anthem?,O Canada,"['O Red Maple', 'Leaf-Spangled Banner', 'March of the Puck Drop']"
16,multiple,hard,Geography,Fucking is a village in which country?,Austria,"['Germany', 'Switzerland', 'Czech Republic']"
17,multiple,hard,Geography,In 2012 the German-speaking microstate &quot;Liechtenstein&quot; in Central Europe had a population of how many inhabitants?,"36,600","['2,400', '90,000', '323,400']"
