,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,Geography,What is the nickname for the US state Delaware?,The First State,"['The Fiftieth State', 'The Second State', 'The Sixteenth State']"
1,multiple,easy,Geography,What colour is the circle on the Japanese flag?,Red,"['White', 'Yellow', 'Black']"
2,multiple,easy,Geography,How many time zones does China have?,1,"['3', '4', '2']"
3,multiple,easy,Geography,Which city is the capital of the United States of America?,Washington D.C,"['Seattle', 'Albany', 'Los Angeles']"
4,multiple,easy,Geography,What state is the largest state of the United States of America?,Alaska,"['California', 'Texas', 'Washington']"
5,multiple,easy,Geography,The longest shared border in the world can be found between which two nations?,Canada and the United States,"['Chile and Argentina', 'Russia and China', 'India and Pakistan']"
6,multiple,easy,Geography,All of the following are classified as Finno-Ugric languages EXCEPT:,Samoyedic,"['Hungarian', 'Finnish', 'Estonian']"
7,multiple,easy,Geography,Which of the following European languages is classified as a &quot;language isolate?&quot;,Basque,"['Galician', 'Maltese', 'Hungarian']"
8,multiple,easy,Geography,How many countries does Mexico border?,3,"['2', '4', '1']"
9,multiple,easy,Geography,Greenland is a part of which kingdom?,Denmark,"['Sweden', 'Norway', 'United Kingdom']"
10,multiple,easy,Geography,"If soccer is called football in England, what is American football called in England?",American football,"['Combball', 'Handball', 'Touchdown']"
11,multiple,easy,Geography,What is the official language of Costa Rica?,Spanish,"['English', 'Portuguese', 'Creole']"
12,multiple,easy,Geography,What is the capital of Denmark?,Copenhagen,"['Aarhus', 'Odense', 'Aalborg']"
13,multiple,easy,Geography,The derisive acronym &quot;PIIGS&quot; refers to which of the following European countries and their economic statuses?,"Portugal, Ireland, Italy, Greece, Spain","['Poland, Iceland, Italy, Greece, Serbia', 'Poland, Iceland, Italy, Greenland, Spain', 'Portugal, Iceland, Ireland, Greece, Serbia']"
14,multiple,easy,Geography,How many countries does the United States share a land border with?,2,"['1', '3', '4']"
15,multiple,easy,Geography,Which country is the home of the largest Japanese population outside of Japan?,Brazil,"['China', 'Russia', 'The United States']"
16,multiple,easy,Geography,What is the largest country in the world ?,Russian Federation,"['China', 'Canada', 'Brazil']"
17,multiple,easy,Geography,How many stars are featured on New Zealand&#039;s flag?,4,"['5', '2', '0']"
18,multiple,easy,Geography,Where would you find the &quot;Spanish Steps&quot;?,"Rome, Italy","['Barcelona, Spain', 'Berlin, Germany', 'London, England']"
19,multiple,easy,Geography,What is the name of New Zealand&#039;s indigenous people?,Maori,"['Vikings', 'Polynesians', 'Samoans']"
20,multiple,easy,Geography,What country has a horizontal bicolor red and white flag?,Monaco,"['Bahrain', 'Malta', 'Liechenstein']"
21,multiple,easy,Geography,What is the name of the peninsula containing Spain and Portugal?,Iberian Peninsula,"['European Peninsula', 'Peloponnesian Peninsula', 'Scandinavian Peninsula']"
22,multiple,easy,Geography,What is the capital of India?,New Delhi,"['Bejing', 'Montreal', 'Tithi']"
23,multiple,easy,Geography,Which of the following Arab countries does NOT have a flag containing only Pan-Arab colours?,Qatar,"['Kuwait', 'United Arab Emirates', 'Jordan']"
24,multiple,easy,Geography,Which of the following languages does NOT use the Latin alphabet?,Georgian,"['Turkish', 'Swahili', 'Vietnamese']"
25,multiple,easy,Geography,Harvard University is located in which city?,Cambridge,"['Providence', 'New York', 'Washington D.C.']"
26,multiple,easy,Geography,What is the largest country in the world?,Russia,"['Canada', 'China', 'United States']"
