,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Science: Computers,When was the programming language &quot;C#&quot; released?,2000,"['1998', '1999', '2001']"
1,multiple,medium,Science: Computers,What did the name of the Tor Anonymity Network orignially stand for?,The Onion Router,"['The Only Router', 'The Orange Router', 'The Ominous Router']"
2,multiple,medium,Science: Computers,"In the programming language &quot;Python&quot;, which of these statements would display the string &quot;Hello World&quot; correctly?",print(&quot;Hello World&quot;),"['console.log(&quot;Hello World&quot;)', 'echo &quot;Hello World&quot;', 'printf(&quot;Hello World&quot;)']"
3,multiple,medium,Science: Computers,Which of these is the name for the failed key escrow device introduced by the National Security Agency in 1993?,Clipper Chip,"['Enigma Machine', 'Skipjack', 'Nautilus']"
4,multiple,medium,Science: Computers,How many bytes are in a single Kibibyte?,1024,"['2400', '1000', '1240']"
5,multiple,medium,Science: Computers,On which computer hardware device is the BIOS chip located?,Motherboard,"['Hard Disk Drive', 'Central Processing Unit', 'Graphics Processing Unit']"
6,multiple,medium,Science: Computers,"While Apple was formed in California, in which western state was Microsoft founded?",New Mexico,"['Washington', 'Colorado', 'Arizona']"
7,multiple,medium,Science: Computers,What was the first commerically available computer processor?,Intel 4004,"['Intel 486SX', 'TMS 1000', 'AMD AM386']"
8,multiple,medium,Science: Computers,How many cores does the Intel i7-6950X have?,10,"['12', '8', '4']"
9,multiple,medium,Science: Computers,"The computer OEM manufacturer Clevo, known for its Sager notebook line, is based in which country?",Taiwan,"['United States', 'Germany', 'China (People&#039;s Republic of)']"
10,multiple,medium,Science: Computers,The name of technology company HP stands for what?,Hewlett-Packard,"['Howard Packmann', 'Husker-Pollosk', 'Hellman-Pohl']"
11,multiple,medium,Science: Computers,Which operating system was released first?,Mac OS,"['Windows', 'Linux', 'OS/2']"
12,multiple,medium,Science: Computers,Which internet company began life as an online bookstore called &#039;Cadabra&#039;?,Amazon,"['eBay', 'Overstock', 'Shopify']"
13,multiple,medium,Science: Computers,In the server hosting industry IaaS stands for...,Infrastructure as a Service,"['Internet as a Service', 'Internet and a Server', 'Infrastructure as a Server']"
14,multiple,medium,Science: Computers,What does AD stand for in relation to Windows Operating Systems? ,Active Directory,"['Alternative Drive', 'Automated Database', 'Active Department']"
15,multiple,medium,Science: Computers,What was the first Android version specifically optimized for tablets?,Honeycomb,"['Eclair', 'Froyo', 'Marshmellow']"
16,multiple,medium,Science: Computers,Laserjet and inkjet printers are both examples of what type of printer?,Non-impact printer,"['Impact printer', 'Daisywheel printer', 'Dot matrix printer']"
17,multiple,medium,Science: Computers,What does the term GPU stand for?,Graphics Processing Unit,"['Gaming Processor Unit', 'Graphite Producing Unit', 'Graphical Proprietary Unit']"
18,multiple,medium,Science: Computers,.at is the top-level domain for what country?,Austria,"['Argentina', 'Australia', 'Angola']"
19,multiple,medium,Science: Computers,Which coding language was the #1 programming language in terms of usage on GitHub in 2015?,JavaScript,"['C#', 'Python', 'PHP']"
20,multiple,medium,Science: Computers,Which of the following is a personal computer made by the Japanese company Fujitsu?,FM-7,"['PC-9801', 'Xmillennium ', 'MSX']"
21,multiple,medium,Science: Computers,Which of these programming languages is a low-level language?,Assembly,"['Python', 'C#', 'Pascal']"
22,multiple,medium,Science: Computers,All of the following programs are classified as raster graphics editors EXCEPT:,Inkscape,"['Paint.NET', 'GIMP', 'Adobe Photoshop']"
23,multiple,medium,Science: Computers,How fast is USB 3.1 Gen 2 theoretically?,10 Gb/s,"['5 Gb/s', '8 Gb/s', '1 Gb/s']"
24,multiple,medium,Science: Computers,Unix Time is defined as the number of seconds that have elapsed since when?,"Midnight, January 1, 1970","['Midnight, July 4, 1976', 'Midnight on the creator of Unix&#039;s birthday', 'Midnight, July 4, 1980']"
25,multiple,medium,Science: Computers,The teapot often seen in many 3D modeling applications is called what?,Utah Teapot,"['Pixar Teapot', '3D Teapot', 'Tennessee Teapot']"
26,multiple,medium,Science: Computers,"In programming, what do you call functions with the same name but different implementations?",Overloading,"['Overriding', 'Abstracting', 'Inheriting']"
27,multiple,medium,Science: Computers,"Generally, which component of a computer draws the most power?",Video Card,"['Hard Drive', 'Processor', 'Power Supply']"
28,multiple,medium,Science: Computers,When did the online streaming service &quot;Mixer&quot; launch?,2016,"['2013', '2009', '2011']"
29,multiple,medium,Science: Computers,What was the name given to Android 4.3?,Jelly Bean,"['Lollipop', 'Nutella', 'Froyo']"
30,multiple,medium,Science: Computers,Which one of these is not an official development name for a Ubuntu release?,Mystic Mansion,"['Trusty Tahr', 'Utopic Unicorn', 'Wily Werewolf']"
31,multiple,medium,Science: Computers,Which of the following languages is used as a scripting language in the Unity 3D game engine?,C#,"['Java', 'C++', 'Objective-C']"
