,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,History,Which English king was married to Eleanor of Aquitaine?,Henry II,"['Richard I', 'Henry I', 'Henry V']"
1,multiple,hard,History,Which of the following Physicists aided Nazi Germany in their production of a nuclear weapon?,Werner Heisenberg,"['John von Neumann', 'Albert Einstein', 'Max Planck']"
2,multiple,hard,History,Toussaint Louverture led a successful slave revolt in which country?,Haiti,"['France', 'Cuba', 'United States']"
3,multiple,hard,History,The pantheon in Rome was used to worship what god?,Any god they wanted,"['Athena', 'Zeus', 'Both Athena and Zeus']"
4,multiple,hard,History,Which naval battle was considered the turning point of the Pacific Ocean Theater during World War 2?,Battle of Midway,"['Attack on Truk Island', 'Attack on Pearl Harbor', 'Battle of the Coral Sea']"
5,multiple,hard,History,When did the French Revolution begin?,1789,"['1823', '1756', '1799']"
6,multiple,hard,History,What year was Canada founded in?,1867,"['1798', '1859', '1668']"
7,multiple,hard,History,The ontological argument for the proof of God&#039;s existence is first attributed to whom?,Anselm of Canterbury,"['Ren&eacute; Descartes', 'Immanuel Kant', 'Aristotle']"
8,multiple,hard,History,"Who is the creator of the soft drink, Dr. Pepper?",Charles Alderton,"['James Wellington', 'Johnson Hinsin', 'Boris Heviltik']"
9,multiple,hard,History,The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?,Justinian I,"['Constantine IV', 'Arcadius', 'Theodosius the Great']"
10,multiple,hard,History,Which countries participated in the Lobster War?,France and Brazil,"['Canada and Norway', 'Australia and New Zealand', 'United States and England']"
11,multiple,hard,History,Spain was formed in 1469 with the marriage of Isabella I of Castile and Ferdinand II of what other Iberian kingdom?,Aragon,"['Galicia', 'Le&oacute;n', 'Navarre']"
12,multiple,hard,History,The Battle of Hastings was fought in which year?,1066,"['911', '1204', '1420']"
13,multiple,hard,History,What was the real name of the Albanian national leader Skanderbeg?,Gjergj Kastrioti,"['Diturak Zhulati', 'Iskander Bejko', 'Mirash Krasniki']"
14,multiple,hard,History,How long did the Warsaw Uprising during World War II last?,63 Days,"['20 Days', '55 Days', '224 Days']"
15,multiple,hard,History,What did the first vending machines in the early 1880&#039;s dispense?,Post cards,"['Alcohol', 'Cigarettes', 'Sodas ']"
16,multiple,hard,History,What was the name of the spy ring that helped the United States win the Revolutionary War?,Culper Ring,"['New York Spy Ring', 'Washington&#039;s Spies', 'Unnamed']"
17,multiple,hard,History,On which day did ARPANET suffer a 4 hour long network crash?,"October 27, 1980","['November 21, 1969', 'October 29, 1969', 'December 9, 1991']"
18,multiple,hard,History,"With which Greek philosopher would you associate the phrase, &quot;I know that I know nothing&quot;?",Socrates,"['Aristotle', 'Plato', 'Pythagoras']"
19,multiple,hard,History,"During the Roman Triumvirate of 42 BCE, what region of the Roman Republic was given to Lepidus?",Hispania ,"['Italia', 'Gallia', 'Asia']"
20,multiple,hard,History,"What was the code name for the Allied invasion of Southern France on August 15th, 1944?",Operation Dragoon,"['Operation Overlord', 'Operation Market Garden', 'Operation Torch']"
21,multiple,hard,History,What was the original name of New York City?,New Amsterdam,"['New London', 'New Paris', 'New Rome']"
22,multiple,hard,History,"During World War I, which nation&#039;s monarchs were blood related?","England, Germany, Russia","['France, Russia, Germany', 'Serbia, Russia, Croatia', 'Germany, Spain, Austria']"
23,multiple,hard,History,During the Wars of the Roses (1455 - 1487) which Englishman was dubbed &quot;the Kingmaker&quot;?,Richard Neville,"['Richard III', 'Henry V', 'Thomas Warwick']"
24,multiple,hard,History,What was the name of the German offensive operation in October 1941 to take Moscow before winter?,Operation Typhoon,"['Operation Sunflower', 'Operation Barbarossa', 'Case Blue']"
25,multiple,hard,History,Which U.S. president was said to have been too honest to lie to his father about chopping down a cherry tree?,George Washington,"['Abraham Lincoln', 'Thomas Jefferson', 'James Monroe']"
26,multiple,hard,History,"In addition to his career as an astrologer and &quot;prophet&quot;, Nostradamus published a 1555 treatise that included a section on what?",Making jams and jellies,"['Teaching parrots to talk', 'Cheating at card games', 'Digging graves']"
27,multiple,hard,History,When was Adolf Hitler appointed as Chancellor of Germany?,"January 30, 1933","['September 1, 1939', 'February 27, 1933', 'October 6, 1939']"
28,multiple,hard,History,What was the last colony the UK ceded marking the end of the British Empire?,Hong Kong,"['India', 'Australia', 'Ireland']"
29,multiple,hard,History,What was the aim of the &quot;Umbrella Revolution&quot; in Hong Kong in 2014?,Genuine universal suffrage,"['Gaining Independence', 'Go back under British Rule', 'Lower taxes']"
30,multiple,hard,History,List the following Iranic empires in chronological order:,"Median, Achaemenid, Parthian, Sassanid","['Median, Achaemenid, Sassanid, Parthian', 'Achaemenid, Median, Parthian, Sassanid', 'Achaemenid, Median, Sassanid, Parthian']"
31,multiple,hard,History,Which one of these rulers did not belong to the Habsburg dynasty?,Philip V,"['Charles V', 'Philip II', 'Francis Joseph']"
32,multiple,hard,History,Which King of England was faced with the Peasants&#039; Revolt in 1381?,Richard II,"['Edward III', 'Edward II', 'Henry IV']"
33,multiple,hard,History,"Which country did the Eureka Rebellion, an 1856 battle against colonial rule, take place in?",Australia,"['India', 'Canada', 'Brazil']"
34,multiple,hard,History,What is the name of the Boeing B-29 that dropped the &#039;Little Boy&#039; atomic bomb on Hiroshima?,Enola Gay,"['Necessary Evil', 'The Great Artiste', 'Full House']"
35,multiple,hard,History,Who was the President of the United States during the signing of the Gadsden Purchase?,Franklin Pierce,"['Andrew Johnson', 'Abraham Lincoln', 'James Polk']"
36,multiple,hard,History,When did Canada leave the confederation to become their own nation?,"July 1st, 1867","['July 1st, 1763', 'July 1st, 1832', 'July 1st, 1902']"
37,multiple,hard,History,Who invented the &quot;Flying Shuttle&quot; in 1738; one of the key developments in the industrialization of weaving?,John Kay,"['James Hargreaves', 'Richard Arkwright', 'John Deere']"
38,multiple,hard,History,Which of the following was not one of Joseph Stalin&#039;s ten blows during World War II?,Vistula-Oder Offensive,"['Crimean Offensive', 'Leningrad-Novgorod Offensive', 'Operation Bagration']"
39,multiple,hard,History,How many sonatas did Ludwig van Beethoven write?,32,"['50', '31', '21']"
40,multiple,hard,History,"From 1940 to 1942, what was the capital-in-exile of Free France ?",Brazzaville,"['Algiers', 'Paris', 'Tunis']"
41,multiple,hard,History,In which year did the Tokyo Subway Sarin Attack occur?,1995,"['2001', '2011', '1991']"
42,multiple,hard,History,"Before the American colonies switched to the Gregorian calendar in 1752, on what date did their new year start?",March 25th,"['June 1st', 'September 25th', 'December 1st']"
43,multiple,hard,History,The ancient city of Chich&eacute;n Itz&aacute; was built by which civilization?,Mayans,"['Aztecs', 'Incas', 'Toltecs']"
44,multiple,hard,History,"During the Spanish Civil War (1936), Francisco Franco fought for which political faction?",Nationalist Spain,"['Republican Spain', 'Popular Front', 'Papal State']"
45,multiple,hard,History,Which of the following physicists did NOT work on the Manhattan project?,Murray Gell-Mann,"['Richard Feynman', 'J. Robert Oppenheimer', 'John Von-Neumann']"
46,multiple,hard,History,Which day did World War I begin?,July 28,"['January 28', 'June 28', 'April 28']"
47,multiple,hard,History,Which of these theoretical phycisists first predicted the existence of antimatter?,Paul Dirac,"['Niels Bohr', 'Albert Einstein', 'Werner Heisenberg']"
48,multiple,hard,History,What age was King Henry V when he died?,35,"['62', '87', '73']"
49,multiple,hard,History,Which of these positions did the astronomer and physicist Isaac Newton not hold?,Surveyor to the City of London,"['Professor of Mathematics', 'Warden of the Royal Mint', 'Member of Parliament']"
