,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,General Knowledge,Virtual reality company Oculus VR lost which of it&#039;s co-founders in a freak car accident in 2013?,Andrew Scott Reisse,"['Nate Mitchell', 'Jack McCauley', 'Palmer Luckey']"
1,multiple,hard,General Knowledge,What is the airspeed velocity of an unladen swallow?,24 MPH,"['15 MPH', '20 MPH', '200 MPH']"
2,multiple,hard,General Knowledge,Which of these cities does NOT have a United States Minting location?,"St. Louis, MO","['San Fransisco, CA', 'Philidelphia, PA', 'West Point, NY']"
3,multiple,hard,General Knowledge,Which of the following is not another name for the eggplant?,Potimarron,"['Brinjal', 'Guinea Squash', 'Melongene']"
4,multiple,hard,General Knowledge,"Located in Chile, El Teniente is the world&#039;s largest underground mine for what metal?",Copper,"['Iron', 'Nickel', 'Silver']"
5,multiple,hard,General Knowledge,"What does the Latin phrase &quot;Veni, vidi, vici&quot; translate into English?","I came, I saw, I conquered","['See no evil, hear no evil, speak no evil', 'Life, liberty, and happiness', 'Past, present, and future']"
6,multiple,hard,General Knowledge,The word &quot;abulia&quot; means which of the following?,The inability to make decisions,"['The inability to stand up', 'The inability to concentrate on anything', 'A feverish desire to rip one&#039;s clothes off']"
7,multiple,hard,General Knowledge,The word &quot;astasia&quot; means which of the following?,The inability to stand up,"['The inability to make decisions', 'The inability to concentrate on anything', 'A feverish desire to rip one&#039;s clothes off']"
8,multiple,hard,General Knowledge,"Which product did Nokia, the telecommunications company, originally sell?",Paper,"['Phones', 'Computers', 'Processors']"
9,multiple,hard,General Knowledge,"Which church&#039;s interior in Vatican City was designed in 1503 by renaissance architects including Bramante, Michelangelo and Bernini?",St. Peter&#039;s Basilica,"['Catania Cathedral', 'St. Mark&rsquo;s Basilica', 'The Duomo of Florence']"
10,multiple,hard,General Knowledge,"De Eemhof, Port Zelande and Het Heijderbos are holiday villas owned by what company?",Center Parcs,"['Yelloh Village', 'Keycamp', 'Villa Plus']"
11,multiple,hard,General Knowledge,"According to the 2014-2015 Australian Bureau of Statistics, what percentage of Australians were born overseas?",28%,"['13%', '20%', '7%']"
12,multiple,hard,General Knowledge,What is the weight of a Gold Bar in Fallout: New Vegas?,35 Pounds,"['30 Pounds', '40 Pounds', '32.50 Pounds']"
13,multiple,hard,General Knowledge,What is the romanized Korean word for &quot;heart&quot;?,Simjang,"['Aejeong', 'Jeongsin', 'Segseu']"
14,multiple,hard,General Knowledge,The Quadrangularis Reversum is best described as which of the following?,A percussion instrument,"['A building in Oxford University', 'A chess move', 'A geometric theorem']"
15,multiple,hard,General Knowledge,What is the romanized Arabic word for &quot;moon&quot;?,Qamar,"['Najma', 'Kawkab', 'Shams']"
16,multiple,hard,General Knowledge,The Swedish word &quot;Grunka&quot; means what in English?,Thing,"['People', 'Place', 'Pineapple']"
17,multiple,hard,General Knowledge,"Originally another word for poppy, coquelicot is a shade of what?",Red,"['Green', 'Blue', 'Pink']"
