,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Sports,What is the oldest team in the NFL?,Arizona Cardinals,"['Chicago Bears', 'Green Bay Packers', 'New York Giants']"
1,multiple,medium,Sports,Which professional wrestler fell from the rafters to his death during a live Pay-Per-View event in 1999?,Owen Hart,"['Chris Benoit', 'Lex Luger', 'Al Snow']"
2,multiple,medium,Sports,Which NBA player won Most Valuable Player for the 1999-2000 season?,Shaquille O&#039;Neal,"['Allen Iverson', 'Kobe Bryant', 'Paul Pierce']"
3,multiple,medium,Sports,Which team was the 2015-2016 NBA Champions?,Cleveland Cavaliers,"['Golden State Warriors', 'Toronto Raptors', 'Oklahoma City Thunders']"
4,multiple,medium,Sports,Which of the following Grand Slam tennis tournaments occurs LAST?,US Open,"['French Open', 'Wimbledon', 'Australian Open']"
5,multiple,medium,Sports,In what sport does Fanny Chmelar compete for Germany?,Skiing,"['Swimming', 'Showjumping', 'Gymnastics']"
6,multiple,medium,Sports,Who was the British professional wrestler Shirley Crabtree better known as?,Big Daddy,"['Giant Haystacks', 'Kendo Nagasaki', 'Masambula']"
7,multiple,medium,Sports,At which bridge does the annual Oxford and Cambridge boat race start?,Putney,"['Hammersmith', 'Vauxhall ', 'Battersea']"
8,multiple,medium,Sports,Why was The Green Monster at Fenway Park was originally built?,To prevent viewing games from outside the park.,"['To make getting home runs harder.', 'To display advertisements.', 'To provide extra seating.']"
9,multiple,medium,Sports,Which portuguese island is soccer player Cristiano Ronaldo from?,Madeira,"['Terceira', 'Santa Maria', 'Porto Santo']"
10,multiple,medium,Sports,What is the highest belt you can get in Taekwondo?,Black,"['White', 'Red', 'Green']"
11,multiple,medium,Sports,What country hosted the 2014 Winter Olympics?,Russia,"['Canada', 'United States', 'Germany']"
12,multiple,medium,Sports,Who won the 2011 Stanley Cup?,Boston Bruins,"['Montreal Canadiens', 'New York Rangers', 'Toronto Maple Leafs']"
13,multiple,medium,Sports,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Jordan,"['Benetton', 'Ferrari', 'Mercedes']"
14,multiple,medium,Sports,What is the exact length of one non-curved part in Lane 1 of an Olympic Track?,84.39m,"['100m', '100yd', '109.36yd']"
15,multiple,medium,Sports,Who won the 2015 College Football Playoff (CFP) National Championship? ,Ohio State Buckeyes,"['Alabama Crimson Tide', 'Clemson Tigers', 'Wisconsin Badgers']"
16,multiple,medium,Sports,Which NBA player has the most games played over the course of their career?,Robert Parish,"['Kareem Abdul-Jabbar', 'Kevin Garnett', 'Kobe Bryant']"
17,multiple,medium,Sports,Which Formula 1 driver switched teams in the middle of the 2017 season?,Carlos Sainz Jr.,"['Daniil Kvyat', 'Jolyon Palmer', 'Rio Haryanto']"
18,multiple,medium,Sports,Which of these teams isn&#039;t a member of the NHL&#039;s &quot;Original Six&quot; era?,Philadelphia Flyers,"['New York Rangers', 'Toronto Maple Leafs', 'Boston Bruins']"
19,multiple,medium,Sports,"In Formula 1, the Virtual Safety Car was introduced following the fatal crash of which driver?",Jules Bianchi,"['Ayrton Senna', 'Ronald Ratzenberger', 'Gilles Villeneuve']"
20,multiple,medium,Sports,Who won the 2018 Monaco Grand Prix?,Daniel Ricciardo,"['Sebastian Vettel', 'Kimi Raikkonen', 'Lewis Hamilton']"
21,multiple,medium,Sports,How many French Open&#039;s did Bj&ouml;rn Borg win?,6,"['4', '9', '2']"
22,multiple,medium,Sports,Who is Manchester United&#039;s top premier league goal scorer?,Wayne Rooney,"['Sir Bobby Charlton', 'Ryan Giggs', 'David Beckham']"
23,multiple,medium,Sports,The F1 season of 1994 is remembered for what tragic event?,Death of Ayrton Senna (San Marino),"['The Showdown (Australia)', 'Verstappen on Fire (Germany)', 'Schumacher&#039;s Ban (Britain)']"
