,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,Celebrities,What was James Coburn&#039;s last film role before his death?,American Gun,"['Monsters Inc', 'Texas Rangers', 'Snow Dogs']"
1,multiple,easy,Celebrities,Neil Hamburger is played by which comedian?,Gregg Turkington,"['Nathan Fielder', 'Tim Heidecker', 'Todd Glass']"
2,multiple,easy,Celebrities,Gwyneth Paltrow has a daughter named...?,Apple,"['Lily', 'French', 'Dakota']"
3,multiple,easy,Celebrities,By which name is Ramon Estevez better known as?,Martin Sheen,"['Charlie Sheen', 'Ramon Sheen', 'Emilio Estevez']"
4,multiple,easy,Celebrities,Which actress married Michael Douglas in 2000?,Catherine Zeta-Jones,"['Ruth Jones', 'Pam Ferris', 'Sara Sugarman']"
5,multiple,easy,Celebrities,Which celebrity announced his presidency in 2015?,Kanye West,"['Donald Trump', 'Leonardo DiCaprio', 'Miley Cyrus']"
6,multiple,easy,Celebrities,What does film maker Dan Bell typically focus his films on?,Abandoned Buildings and Dead Malls,"['Historic Landmarks', 'Action Films', 'Documentaries ']"
7,multiple,easy,Celebrities,What was the cause of Marilyn Monroes suicide?,Drug Overdose,"['Knife Attack', 'House Fire', 'Gunshot']"
8,multiple,easy,Celebrities,By what name is Carlos Estevez better known? ,Charlie Sheen,"['Ricky Martin', 'Bruno Mars', 'Joaquin Phoenix']"
9,multiple,easy,Celebrities,Aubrey Graham is better known as,Drake,"['Travis Scott', 'Lil Wayne', '2 Chainz']"
0,multiple,easy,Celebrities,Aubrey Graham is better known as,Drake,"['Travis Scott', 'Lil Wayne', '2 Chainz']"
1,multiple,easy,Celebrities,Which actress married Michael Douglas in 2000?,Catherine Zeta-Jones,"['Ruth Jones', 'Pam Ferris', 'Sara Sugarman']"
2,multiple,easy,Celebrities,What was James Coburn&#039;s last film role before his death?,American Gun,"['Monsters Inc', 'Texas Rangers', 'Snow Dogs']"
3,multiple,easy,Celebrities,By what name is Carlos Estevez better known? ,Charlie Sheen,"['Ricky Martin', 'Bruno Mars', 'Joaquin Phoenix']"
4,multiple,easy,Celebrities,Which celebrity announced his presidency in 2015?,Kanye West,"['Donald Trump', 'Leonardo DiCaprio', 'Miley Cyrus']"
5,multiple,easy,Celebrities,Neil Hamburger is played by which comedian?,Gregg Turkington,"['Nathan Fielder', 'Tim Heidecker', 'Todd Glass']"
6,multiple,easy,Celebrities,"Named after a character he played in a 1969 film, what is the name of the ski resort in Utah that Robert Redford bought in 1968?",Sundance,"['Woodward', 'Turner', 'Booker']"
7,multiple,easy,Celebrities,What was the cause of Marilyn Monroes suicide?,Drug Overdose,"['Knife Attack', 'House Fire', 'Gunshot']"
8,multiple,easy,Celebrities,Gwyneth Paltrow has a daughter named...?,Apple,"['Lily', 'French', 'Dakota']"
9,multiple,easy,Celebrities,By which name is Ramon Estevez better known as?,Martin Sheen,"['Charlie Sheen', 'Ramon Sheen', 'Emilio Estevez']"
