,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Entertainment: Books,Who is the author of the series &quot;Malazan Book of the Fallen&quot;?,Steven Erikson,"['Ian Cameron Esslemont', 'George R. R. Martin', 'J. R. R. Tolkien']"
1,multiple,medium,Entertainment: Books,"In Michael Crichton&#039;s novel &quot;Jurassic Park&quot;, John Hammond meets his demise at the claws of which dinosaur?",Procompsognathus,"['Dilophosaurus', 'Tyrannosaurus Rex', 'Velociraptor']"
2,multiple,medium,Entertainment: Books,By what name was the author Eric Blair better known?,George Orwell,"['Aldous Huxley', 'Ernest Hemingway', 'Ray Bradbury']"
3,multiple,medium,Entertainment: Books,The title of Adolf Hitler&#039;s autobiography &quot;Mein Kampf&quot; is what when translated to English?,My Struggle,"['My Hatred', 'My Sadness', 'My Desire']"
4,multiple,medium,Entertainment: Books,The novel &quot;Of Mice And Men&quot; was written by what author? ,John Steinbeck ,"['George Orwell', 'Mark Twain ', 'Harper Lee']"
5,multiple,medium,Entertainment: Books,"According to The Hitchhiker&#039;s Guide to the Galaxy book, the answer to life, the universe and everything else is...",42,"['Loving everyone around you', 'Chocolate', 'Death']"
6,multiple,medium,Entertainment: Books,Who wrote the children&#039;s story &quot;The Little Match Girl&quot;?,Hans Christian Andersen,"['Charles Dickens', 'Lewis Carroll', 'Oscar Wilde']"
7,multiple,medium,Entertainment: Books,"J.K. Rowling completed &quot;Harry Potter and the Deathly Hallows&quot; in which hotel in Edinburgh, Scotland?",The Balmoral,"['The Dunstane Hotel', 'Hotel Novotel', 'Sheraton Grand Hotel &amp; Spa']"
8,multiple,medium,Entertainment: Books,"In The Lies of Locke Lamora, what title is Locke known by in the criminal world?",The Thorn of Camorr,"['The Rose of the Marrows', 'The Thorn of Emberlain', 'The Thorn of the Marrows']"
9,multiple,medium,Entertainment: Books,The book &quot;The Little Prince&quot; was written by...,Antoine de Saint-Exup&eacute;ry,"['Miguel de Cervantes Saavedra', 'Jane Austen', 'F. Scott Fitzgerald']"
10,multiple,medium,Entertainment: Books,What is the fourth book of the Old Testament?,Numbers,"['Genesis', 'Exodus', 'Leviticus']"
11,multiple,medium,Entertainment: Books,Which of the following is not a work authored by Fyodor Dostoevsky?,Anna Karenina,"['Notes from the Underground', 'Crime and Punishment', 'The Brothers Karamazov']"
12,multiple,medium,Entertainment: Books,Who wrote the &quot;A Song of Ice And Fire&quot; fantasy novel series?,George R. R. Martin,"['George Lucas', 'George Orwell', 'George Eliot']"
13,multiple,medium,Entertainment: Books,Which Russian author wrote the epic novel War and Peace?,Leo Tolstoy,"['Fyodor Dostoyevsky', 'Alexander Pushkin', 'Vladimir Nabokov']"
14,multiple,medium,Entertainment: Books,What book series published by Jim Butcher follows a wizard in modern day Chicago?,The Dresden Files,"['A Hat in Time', 'The Cinder Spires', 'My Life as a Teenage Wizard']"
15,multiple,medium,Entertainment: Books,What is the make and model of the tour vehicles in &quot;Jurassic Park&quot; (1990)?,1989 Toyota Land Cruiser,"['1989 Jeep Wrangler YJ Sahar', '1989 Ford Explorer XLT', 'Mercedes M-Class']"
16,multiple,medium,Entertainment: Books,"What was the pen name of novelist, Mary Ann Evans?",George Eliot,"['George Orwell', 'George Bernard Shaw', 'George Saunders']"
17,multiple,medium,Entertainment: Books,What is the name of Eragon&#039;s dragon in &quot;Eragon&quot;?,Saphira,"['Glaedr', 'Thorn', 'Arya']"
18,multiple,medium,Entertainment: Books,What was the last message of the Dolphins in &quot;The Hitchhiker&#039;s Guide to the Galaxy&quot;?,"&quot;So long, and thanks for all the fish.&quot;","['&quot;The answer is 42.&quot;', '&quot;Land of the brave.&quot;', '&quot;Goodbye cruel world!&quot;']"
19,multiple,medium,Entertainment: Books,"In the year 1818, novelist Mary Shelly is credited with writing a fiction novel and creating this infamous character.",Frankenstein&#039;s monster,"['Dracula', 'The Thing', 'The Invisible Man']"
