,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,Sports,"In bowling, what is the term used for getting three consecutive strikes?",Turkey,"['Flamingo', 'Birdie', 'Eagle']"
1,multiple,easy,Sports,"In golf, what name is given to a hole score of two under par?",Eagle,"['Birdie', 'Bogey', 'Albatross']"
2,multiple,easy,Sports,In what sport is a &quot;shuttlecock&quot; used?,Badminton,"['Table Tennis', 'Rugby', 'Cricket']"
3,multiple,easy,Sports,Which country will host the 2022 FIFA World Cup?,Qatar,"['USA', 'Japan', 'Switzerland']"
4,multiple,easy,Sports,Who won the 2017 Formula One World Drivers&#039; Championship?,Lewis Hamilton,"['Sebastian Vettel', 'Nico Rosberg', 'Max Verstappen']"
5,multiple,easy,Sports,What team won the 2016 MLS Cup?,Seattle Sounders,"['Colorado Rapids', 'Toronto FC', 'Montreal Impact']"
6,multiple,easy,Sports,Which country has hosted the 2018 FIFA World Cup?,Russia,"['Germany', 'United States', 'Saudi Arabia']"
7,multiple,easy,Sports,Which two teams played in Super Bowl XLII?,The New York Giants &amp; The New England Patriots,"['The Green Bay Packers &amp; The Pittsburgh Steelers', 'The Philadelphia Eagles &amp; The New England Patriots', 'The Seattle Seahawks &amp; The Denver Broncos']"
8,multiple,easy,Sports,Which boxer was banned for taking a bite out of Evander Holyfield&#039;s ear in 1997?,Mike Tyson,"['Roy Jones Jr.', 'Evander Holyfield', 'Lennox Lewis']"
9,multiple,easy,Sports,Who is often called &quot;the Maestro&quot; in the men&#039;s tennis circuit?,Roger Federer,"['Bill Tilden', 'Boris Becker', 'Pete Sampras']"
10,multiple,easy,Sports,How many points did LeBron James score in his first NBA game?,25,"['19', '69', '41']"
11,multiple,easy,Sports,How many soccer players should be on the field at the same time?,22,"['20', '24', '26']"
12,multiple,easy,Sports,"This Canadian television sportscaster is known for his &quot;Hockey Night in Canada&quot; role, a commentary show during hockey games.",Don Cherry,"['Don McKellar', 'Don Taylor ', 'Donald Sutherland']"
13,multiple,easy,Sports,The Rio 2016 Summer Olympics held it&#039;s closing ceremony on what date?,August 21,"['August 23', 'August 19', 'August 17']"
14,multiple,easy,Sports,Who won the 2016 Formula 1 World Driver&#039;s Championship?,Nico Rosberg,"['Lewis Hamilton', 'Max Verstappen', 'Kimi Raikkonen']"
15,multiple,easy,Sports,"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-7,"['1-5', '1-6', '2-6']"
16,multiple,easy,Sports,"Which player holds the NHL record of 2,857 points?",Wayne Gretzky,"['Mario Lemieux ', 'Sidney Crosby', 'Gordie Howe']"
17,multiple,easy,Sports,The Los Angeles Dodgers were originally from what U.S. city?,Brooklyn,"['Las Vegas', 'Boston', 'Seattle']"
18,multiple,easy,Sports,Who did Steven Gerrard win the Champions League with?,Liverpool,"['Real Madrid', 'Chelsea', 'Man City']"
19,multiple,easy,Sports,Who won the UEFA Champions League in 2017?,Real Madrid C.F.,"['Atletico Madrid', 'AS Monaco FC', 'Juventus F.C.']"
20,multiple,easy,Sports,Who won the 2015 Formula 1 World Championship?,Lewis Hamilton,"['Nico Rosberg', 'Sebastian Vettel', 'Jenson Button']"
21,multiple,easy,Sports,Which team won 2014 FIFA World Cup in Brazil?,Germany,"['Argentina', 'Brazil', 'Netherlands']"
22,multiple,easy,Sports,Which year did Jenson Button won his first ever Formula One World Drivers&#039; Championship?,2009,"['2010', '2007', '2006']"
23,multiple,easy,Sports,Who won the UEFA Champions League in 2016?,Real Madrid C.F.,"['FC Bayern Munich', 'Atletico Madrid', 'Manchester City F.C.']"
24,multiple,easy,Sports,"In baseball, how many fouls are an out?",0,"['5', '3', '2']"
25,multiple,easy,Sports,Which driver has been the Formula 1 world champion for a record 7 times?,Michael Schumacher,"['Ayrton Senna', 'Fernando Alonso', 'Jim Clark']"
26,multiple,easy,Sports,Who won the premier league title in the 2015-2016 season following a fairy tale run?,Leicester City,"['Tottenham Hotspur', 'Watford', 'Stoke City']"
27,multiple,easy,Sports,What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?,7 - 1,"['0 - 1', '3 - 4', '16 - 0']"
28,multiple,easy,Sports,Which English football club has the nickname &#039;The Foxes&#039;?,Leicester City,"['Northampton Town', 'Bradford City', 'West Bromwich Albion']"
29,multiple,easy,Sports,&quot;Stadium of Light&quot; is the home stadium for which soccer team?,Sunderland FC,"['Barcelona FC', 'Paris Saints-Germain', 'Manchester United']"
