,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Geography,What is the capital of Chile?,Santiago,"['Valpara&iacute;so', 'Copiap&oacute;', 'Antofagasta']"
1,multiple,medium,Geography,What is the capital of Senegal?,Dakar,"['Nouakchott', 'Conakry', 'Monrovia']"
2,multiple,medium,Geography,Which country claims ownership of the disputed state Kosovo?,Serbia,"['Croatia', 'Albania', 'Macedonia']"
3,multiple,medium,Geography,Which of these Japanese islands is the largest by area?,Shikoku,"['Iki', 'Odaiba', 'Okinawa']"
4,multiple,medium,Geography,How many provinces are in the Netherlands?,12,"['14', '10', '13']"
5,multiple,medium,Geography,The Pyrenees mountains are located on the border of which two countries?,France and Spain,"['Italy and Switzerland', 'Norway and Sweden', 'Russia and Ukraine']"
6,multiple,medium,Geography,"What is the capital of the State of Washington, United States?",Olympia,"['Washington D.C.', 'Seattle', 'Yukon']"
7,multiple,medium,Geography,Lake Titicaca is located between which two nations?,Peru and Bolivia,"['Kenya and Uganda', 'Mexico and the United States', 'India and Bangladesh']"
8,multiple,medium,Geography,Which city is the capital of Switzerland?,Bern,"['Z&uuml;rich', 'Frankfurt', 'Wien']"
9,multiple,medium,Geography,What is the longest river in Europe?,Volga,"['Danube', 'Rhine', 'Thames']"
10,multiple,medium,Geography,What city is the Terracotta Army located in?,Xi&#039;an,"['Beijing', 'Shanghai', 'Hong Kong']"
11,multiple,medium,Geography,Which of these is NOT an island that is part of the Philippines?,Java,"['Luzon', 'Mindanao', 'Palawan']"
12,multiple,medium,Geography,What continent is the country Lesotho in?,Africa,"['Asia', 'South America', 'Europe']"
13,multiple,medium,Geography,"Gibraltar, located just south of the Iberian peninsula, is a territory of which West Europe country?",United Kingdom,"['Spain', 'Portugal', 'France']"
14,multiple,medium,Geography,What is the name of the only remaining Grand Duchy in the world ?,Luxembourg,"['Montenegro', 'Liechtenstein', 'Andorra']"
15,multiple,medium,Geography,Which of the following countries banned the use of personal genetic ancestry tests?,Germany,"['Austria', 'Canada', 'Sweden']"
16,multiple,medium,Geography,What is the largest lake in the African continent?,Lake Victoria,"['Lake Tanganyika', 'Lake Malawi', 'Lake Turkana']"
17,multiple,medium,Geography,What is the official national language of Pakistan?,Urdu,"['Indian', 'Punjabi', 'Pashto']"
18,multiple,medium,Geography,All of the following countries have official claims to territory in Antartica EXCEPT:,United States,"['Australia', 'Chile', 'Norway']"
19,multiple,medium,Geography,How many sovereign states are members of the United Nations?,195,"['201', '153', '178']"
20,multiple,medium,Geography,Which of the following countries is within the Eurozone but outside of the Schengen Area?,Cyprus,"['Malta', 'Greece', 'Portugal']"
21,multiple,medium,Geography,"The towns of Brugelette, Arlon and Ath are located in which country?",Belgium,"['Andorra', 'France', 'Luxembourg']"
22,multiple,medium,Geography,Which of the following countries does NOT recognize Armenia as an independent country?,Pakistan,"['Iran', 'Turkey', 'Azerbaijan']"
23,multiple,medium,Geography,How many independent countries are there within the continent of South America?,12,"['8', '9', '10']"
24,multiple,medium,Geography,Where is the &quot;Sonoran Desert&quot; located?,North America,"['South America', 'Asia', 'Africa']"
25,multiple,medium,Geography,"Which of these American cities has fewer than 1,000,000 people?","San Francisco, California","['Phoenix, Arizona', 'San Antonio, Texas', 'Philadelphia, Pennsylvania']"
26,multiple,medium,Geography,What is the capital of Australia?,Canberra,"['Sydney', 'Melbourne', 'Brisbane']"
27,multiple,medium,Geography,What is the capital city of New Zealand?,Wellington,"['Auckland', 'Christchurch', 'Melbourne']"
28,multiple,medium,Geography,Which of these countries is not a United Nations member state?,Niue,"['Tuvalu', 'South Sudan', 'Montenegro']"
29,multiple,medium,Geography,"On a London Underground map, what colour is the Circle Line?",Yellow,"['Red', 'Blue', 'Green']"
30,multiple,medium,Geography,What are the four corner states of the US?,"Utah, Colorado, Arizona, New Mexico","['Oregon, Idaho, Nevada, Utah', 'Kansas, Oklahoma, Arkansas, Louisiana', 'South Dakota, Minnesota, Nebraska, Iowa']"
31,multiple,medium,Geography,Which is the largest city in Morocco?,Casablanca,"['Rabat', 'Fes', 'Sale']"
32,multiple,medium,Geography,What is the busiest port in Europe?,Port of Rotterdam,"['Port of Antwerp', 'Port of Hamburg', 'Port of Amsterdam']"
33,multiple,medium,Geography,What is the capital of Lithuania?,Vilnius,"['Tallinn', 'Helsinki', 'Riga']"
34,multiple,medium,Geography,What is the capital of Estonia?,Tallinn,"['Helsinki', 'Tartu', 'Riga']"
35,multiple,medium,Geography,How tall is One World Trade Center in New York City?,"1,776 ft","['1,888 ft', '1,225 ft', '1,960 ft']"
36,multiple,medium,Geography,How many timezones does Russia have?,11,"['6', '24', '16']"
37,multiple,medium,Geography,The land of Gotland is located in which European country?,Sweden,"['Denmark', 'Norway', 'Germany']"
38,multiple,medium,Geography,The following Spanish provinces are located in the northern area of Spain except:,Murcia,"['Asturias', 'Navarre', 'Le&oacute;n']"
39,multiple,medium,Geography,Bridgetown is the capital of which island country in the Carribean?,Barbados,"['Cuba', 'Jamaica&lrm;', 'Dominica']"
40,multiple,medium,Geography,What African country has Portuguese as its official language?,Mozambique,"['Botswana', 'Gabon', 'Togo']"
41,multiple,medium,Geography,"Which country inside the United Kingdom does NOT appear on its flag, the Union Jack?",Wales,"['Scotland', 'Ireland', 'Isle of Wight']"
42,multiple,medium,Geography,Which German city is located on the River Isar?,Munich,"['Berlin', 'Hamburg', 'Dortmund']"
