,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Entertainment: Music,Which song by Swedish electronic musician Avicii samples the song &quot;Something&#039;s Got A Hold On Me&quot; by Etta James?,Levels,"['Fade Into Darkness', 'Silhouettes', 'Seek Bromance']"
1,multiple,medium,Entertainment: Music,Which of these songs is NOT in The Beatles&#039; album &quot;Sgt. Pepper&#039;s Lonely Hearts Club Band&quot;?,Strawberry Fields Forever,"['Getting Better', 'Fixing a Hole', 'Lucy in the Sky with Diamonds']"
2,multiple,medium,Entertainment: Music,Which of these Johns was murdered by gunshots outside the Dakota in New York in 1980?,John Lennon,"['Johnny Thunders', 'John Denver', 'John Cascella']"
3,multiple,medium,Entertainment: Music,How many members are in the Japanese rock band SCANDAL?,4,"['5', '2', '18']"
4,multiple,medium,Entertainment: Music,"Johnny Cash did a cover of this song written by lead singer of Nine Inch Nails, Trent Reznor.",Hurt,"['Closer', 'A Warm Place', 'Big Man with a Gun']"
5,multiple,medium,Entertainment: Music,"May 16th of every year is known as __________ Day, named after a punk band prominent in the 1990s.",Lagwagon,"['Goldfinger', 'Less Than Jake', 'Lit']"
6,multiple,medium,Entertainment: Music,What M83 was featured in Grand Theft Auto V&#039;s radio?,Midnight City,"['Outro', 'Reunion', 'Wait']"
7,multiple,medium,Entertainment: Music,Which artist collaborated with American DJ Dillon Francis to release the song 2016 &quot;Need You&quot;?,NGHTMRE,"['LOUDPVCK', 'KRNE', 'DVBBS']"
8,multiple,medium,Entertainment: Music,What was Britney Spears&#039; debut single?,...Baby One More Time,"['Oops!... I Did It Again', '(You Drive Me) Crazy', 'Toxic']"
9,multiple,medium,Entertainment: Music,What is Brian May&#039;s guitar called?,Red Special,"['Blue Special', 'Green Special', 'Yellow Special']"
10,multiple,medium,Entertainment: Music,Saul Hudson (Slash) of the band Guns N&#039; Roses is known for playing what type of guitar?,Les Paul Standard,"['Fender Stratocaster', 'LsL Mongrel', 'Gretsch Falcon']"
11,multiple,medium,Entertainment: Music,Who had hits in the 70s with the songs &quot;Lonely Boy&quot; and &quot;Never Let Her Slip Away&quot;?,Andrew Gold,"['Elton John', 'Leo Sayer', 'Barry White ']"
