,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Celebrities,How tall is Tom Cruise?,5&prime; 7&Prime;,"['5&prime; 9&Prime;', '5&prime; 4&Prime;', '5&prime; 5&Prime;']"
1,multiple,hard,Celebrities,Billy Herrington is from which US state?,New York,"['Arizona', 'California', 'Georgia']"
2,multiple,hard,Celebrities,Gabe Newell was born in which year?,1962 ,"['1970', '1960', '1972']"
3,multiple,hard,Celebrities,What was the religion of famous singer &quot;Freddie Mercury&quot;?,Zoroastrianism,"['Paganism', 'Ashurism', 'Judaism']"
4,multiple,hard,Celebrities,The eccentric natural philosopher Tycho Brahe kept what as a pet?,Moose,"['Dog', 'Bear', 'Goat']"
5,multiple,hard,Celebrities,Who was Donald Trump&#039;s first wife?,Ivana Zeln&iacute;čkov&aacute;,"['Melania Knauss', 'Marla Maples', 'Nancy Davis']"
0,multiple,hard,Celebrities,The eccentric natural philosopher Tycho Brahe kept what as a pet?,Moose,"['Dog', 'Bear', 'Goat']"
1,multiple,hard,Celebrities,Gabe Newell was born in which year?,1962 ,"['1970', '1960', '1972']"
2,multiple,hard,Celebrities,Who was Donald Trump&#039;s first wife?,Ivana Zeln&iacute;čkov&aacute;,"['Melania Knauss', 'Marla Maples', 'Nancy Davis']"
3,multiple,hard,Celebrities,Billy Herrington is from which US state?,New York,"['Arizona', 'California', 'Georgia']"
4,multiple,hard,Celebrities,What was the religion of famous singer &quot;Freddie Mercury&quot;?,Zoroastrianism,"['Paganism', 'Ashurism', 'Judaism']"
5,multiple,hard,Celebrities,"Which school in Surrey, England did Steve Backshall attend?",Collingwood College,"['Tomlinscote School', 'Kings International College', 'Lyndhurst School']"
6,multiple,hard,Celebrities,How tall is Tom Cruise?,5&prime; 7&Prime;,"['5&prime; 9&Prime;', '5&prime; 4&Prime;', '5&prime; 5&Prime;']"
0,multiple,hard,Celebrities,Gabe Newell was born in which year?,1962 ,"['1970', '1960', '1972']"
1,multiple,hard,Celebrities,How tall is Tom Cruise?,5&prime; 7&Prime;,"['5&prime; 9&Prime;', '5&prime; 4&Prime;', '5&prime; 5&Prime;']"
2,multiple,hard,Celebrities,"Which school in Surrey, England did Steve Backshall attend?",Collingwood College,"['Tomlinscote School', 'Kings International College', 'Lyndhurst School']"
3,multiple,hard,Celebrities,What was the religion of famous singer &quot;Freddie Mercury&quot;?,Zoroastrianism,"['Paganism', 'Ashurism', 'Judaism']"
4,multiple,hard,Celebrities,Who was Donald Trump&#039;s first wife?,Ivana Zeln&iacute;čkov&aacute;,"['Melania Knauss', 'Marla Maples', 'Nancy Davis']"
0,multiple,hard,Celebrities,Billy Herrington is from which US state?,New York,"['Arizona', 'California', 'Georgia']"
1,multiple,hard,Celebrities,Gabe Newell was born in which year?,1962 ,"['1970', '1960', '1972']"
2,multiple,hard,Celebrities,The eccentric natural philosopher Tycho Brahe kept what as a pet?,Moose,"['Dog', 'Bear', 'Goat']"
3,multiple,hard,Celebrities,Who was Donald Trump&#039;s first wife?,Ivana Zeln&iacute;čkov&aacute;,"['Melania Knauss', 'Marla Maples', 'Nancy Davis']"
4,multiple,hard,Celebrities,What was the religion of famous singer &quot;Freddie Mercury&quot;?,Zoroastrianism,"['Paganism', 'Ashurism', 'Judaism']"
