,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,medium,Celebrities,In what year did &quot;Bob Ross&quot; die?,1995,"['1986', '1989', '1997']"
1,multiple,medium,Celebrities,What is generally considered to be William Shakespeare&#039;s birth date?,"April 23rd, 1564","['July 4th, 1409', 'September 29th, 1699', 'December 1st, 1750']"
2,multiple,medium,Celebrities,What caused Jake Lloyd who played Anakin Skywalker in The Phantom Menace to quit acting?,Bullying,"['Criminal Record', 'Nomination for Worst Actor', 'Racism']"
3,multiple,medium,Celebrities,"If he was still alive, in what year would Elvis Presley celebrate his 100th birthday?",2035,"['2030', '2040', '2045']"
4,multiple,medium,Celebrities,Which of these celebrities was not a member of the Jackson 5?,Bo Jackson,"['Tito Jackson', 'Jermaine Jackson', 'Marlon Jackson']"
5,multiple,medium,Celebrities,"What is the real name of &quot;moot&quot;, founder of the imageboard 4chan?",Christopher Poole,"['Mark Zuckerberg', 'Allison Harvard', 'Catie Wayne']"
6,multiple,medium,Celebrities,What was the cause of death for Freddie Mercury?,Pneumonia,"['Stomach Cancer', 'HIV', 'Brain Hemorrhage']"
7,multiple,medium,Celebrities,"Which American celebrity died in 1977 playing golf in La Moraleja, Madrid?",Bing Crosby,"['Elvis Presley', 'Charlie Chaplin', 'Groucho Marx']"
8,multiple,medium,Celebrities,Which actress&#039;s real name was Frances Ethel Gumm?,Judy Garland,"['Doris Day', 'Julie Andrews', 'Marilyn Monroe']"
9,multiple,medium,Celebrities,"In 2014, this new top 100 rapper who featured in &quot;Computers&quot; and &quot;Body Dance&quot; was arrested in a NYPD sting for murder.",Bobby Shmurda,"['DJ Snake', 'Swae Lee', 'Young Thug']"
10,multiple,medium,Celebrities,Paul McCartney has always used his middle name. What is his real first name? ,James,"['John', 'Jack', 'Justin']"
11,multiple,medium,Celebrities,How old was Muhammad Ali when he died?,74,"['61', 'He&#039;s still alive', '56']"
12,multiple,medium,Celebrities,What year was O.J. Simpson aquitted of his murder charges?,1995,"['1992', '1996', '1991']"
13,multiple,medium,Celebrities,When was Elvis Presley born?,"January 8, 1935","['December 13, 1931', 'July 18, 1940', 'April 17, 1938']"
14,multiple,medium,Celebrities,"Before voicing Pearl in Steven Universe, Deedee Magno Hall was part of which American band?",The Party,"['The Weather Girls', 'The Pussycat Dolls', 'The Cheetah Girls']"
15,multiple,medium,Celebrities,How much weight did Chris Pratt lose for his role as Star-Lord in &quot;Guardians of the Galaxy&quot;?,60 lbs,"['30 lbs', '50 lbs', '70 lbs']"
16,multiple,medium,Celebrities,Donald J. Trump&#039;s Middle Name is...,John,"['Jeff', 'Jerald', 'Jason']"
17,multiple,medium,Celebrities,Who is &quot;James Rolfe&quot; better known as?,The Angry Video Game Nerd,"['TotalBiscuit', 'PeanutButterGamer', 'PewDiePie']"
18,multiple,medium,Celebrities,Where was Kanye West born?,"Atlanta, Georgia","['Chicago, Illinois', 'Los Angeles, California', 'Detroit, Michigan']"
19,multiple,medium,Celebrities,Which of these people is NOT a part of the Internet comedy group Mega64?,Jon Jafari,"['Rocco Botte', 'Derrick Acosta', 'Shawn Chatfield']"
20,multiple,medium,Celebrities,Which famous New York Yankees outfielder did Marilyn Monroe marry?,Joe DiMaggio,"['Tino Martinez', 'Babe Ruth', 'Mason Williams']"
21,multiple,medium,Celebrities,In which of these TV shows did the chef Gordon Ramsay not appear?,Auction Hunters,"['Ramsay&#039;s Kitchen Nightmares', 'Hotel Hell', 'Hell&#039;s Kitchen']"
22,multiple,medium,Celebrities,What is Doug Walker&#039;s YouTube name?,The Nostalgia Critic,"['The Angry Video Game Nerd', 'AngryJoeShow', 'The Cinema Snob']"
23,multiple,medium,Celebrities,Who out of these actresses is the youngest?,Kiernan Shipka,"['Ariel Winter', 'Emma Watson', 'Bonnie Wright']"
24,multiple,medium,Celebrities,What was the name of Marilyn Monroe&#039;s first husband?,James Dougherty,"['Joe Dimaggio', 'Kirk Douglas', 'Arthur Miller']"
25,multiple,medium,Celebrities,Which television show has Dan Gheesling been on?,Big Brother,"['Jeopardy', 'Survivor', 'The Bachelor']"
26,multiple,medium,Celebrities,Which TV chef wrote an autobiography titled &quot;Humble Pie&quot;?,Gordon Ramsay,"['Jamie Oliver', 'Ainsley Harriott', 'Antony Worrall Thompson']"
27,multiple,medium,Celebrities,What year did radio icon Howard Stern start a job at radio station WNBC?,1982,"['1985', '1984', '1995']"
28,multiple,medium,Celebrities,Which radio personality calls himself &quot;The King of All Media&quot;?,Howard Stern,"['Rush Limbaugh', 'Pete Tong', 'Ryan Seacrest']"
29,multiple,medium,Celebrities,Nikki Diamond portrayed which Gladiator in the 1992 TV show &quot;Gladiators&quot;?,Scorpio,"['Jet', 'Nightshade', 'Falcon']"
