,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,General Knowledge,Which of the following blood component forms a plug at the site of injuries?,Platelets,"['Red blood cells', 'White blood cells', 'Blood plasma']"
1,multiple,easy,General Knowledge,What is the largest organ of the human body?,Skin,"['Heart', 'large Intestine', 'Liver']"
2,multiple,easy,General Knowledge,What alcoholic drink is made from molasses?,Rum,"['Gin', 'Vodka', 'Whisky']"
3,multiple,easy,General Knowledge,What is the first book of the Old Testament?,Genesis,"['Exodus', 'Leviticus', 'Numbers']"
4,multiple,easy,General Knowledge,What kind of aircraft was developed by Igor Sikorsky in the United States in 1942?,Helicopter,"['Stealth Blimp', 'Jet', 'Space Capsule']"
5,multiple,easy,General Knowledge,Who is depicted on the US hundred dollar bill?,Benjamin Franklin,"['George Washington', 'Abraham Lincoln', 'Thomas Jefferson']"
6,multiple,easy,General Knowledge,How would one say goodbye in Spanish?,Adi&oacute;s,"[' Hola', 'Au Revoir', 'Salir']"
7,multiple,easy,General Knowledge,Which sign of the zodiac comes between Virgo and Scorpio?,Libra,"['Gemini', 'Taurus', 'Capricorn']"
8,multiple,easy,General Knowledge,Waluigi&#039;s first appearance was in what game?,Mario Tennis 64 (N64),"['Wario Land: Super Mario Land 3', 'Mario Party (N64)', 'Super Smash Bros. Ultimate']"
9,multiple,easy,General Knowledge,What do the letters in the GMT time zone stand for?,Greenwich Mean Time,"['Global Meridian Time', 'General Median Time', 'Glasgow Man Time']"
10,multiple,easy,General Knowledge,Which of the following is not the host of a program on NPR?,Ben Shapiro,"['Terry Gross', 'Ira Glass', 'Peter Sagal']"
11,multiple,easy,General Knowledge,What company developed the vocaloid Hatsune Miku?,Crypton Future Media,"['Sega', 'Sony', 'Yamaha Corporation']"
12,multiple,easy,General Knowledge,"Which best selling toy of 1983 caused hysteria, resulting in riots breaking out in stores?",Cabbage Patch Kids,"['Transformers', 'Care Bears', 'Rubik&rsquo;s Cube']"
13,multiple,easy,General Knowledge,What machine element is located in the center of fidget spinners?,Bearings,"['Axles', 'Gears', 'Belts']"
14,multiple,easy,General Knowledge,Who is the youngest person to recieve a Nobel Prize?,Malala Yousafzai,"['Lawrence Bragg', 'Werner Heisenberg', 'Yasser Arafat']"
15,multiple,easy,General Knowledge,Who is the author of Jurrasic Park?,Michael Crichton,"['Peter Benchley', 'Chuck Paluhniuk', 'Irvine Welsh']"
16,multiple,easy,General Knowledge,"If you are caught &quot;Goldbricking&quot;, what are you doing wrong?",Slacking,"['Smoking', 'Stealing', 'Cheating']"
17,multiple,easy,General Knowledge,What is the name of Poland in Polish?,Polska,"['Pupcia', 'Polszka', 'P&oacute;land']"
18,multiple,easy,General Knowledge,Which of the following presidents is not on Mount Rushmore?,John F. Kennedy,"['Theodore Roosevelt', 'Abraham Lincoln', 'Thomas Jefferson']"
19,multiple,easy,General Knowledge,What is the shape of the toy invented by Hungarian professor Ernő Rubik?,Cube,"['Sphere', 'Cylinder', 'Pyramid']"
20,multiple,easy,General Knowledge,When someone is inexperienced they are said to be what color?,Green,"['Red', 'Blue', 'Yellow']"
21,multiple,easy,General Knowledge,What is the French word for &quot;fish&quot;?,poisson,"['fiche', 'escargot', 'mer']"
22,multiple,easy,General Knowledge,Which of the following card games revolves around numbers and basic math?,Uno,"['Go Fish', 'Twister', 'Munchkin']"
23,multiple,easy,General Knowledge,The &ldquo;fairy&rdquo; type made it&rsquo;s debut in which generation of the Pokemon core series games?,6th,"['2nd', '7th', '4th']"
24,multiple,easy,General Knowledge,What is the French word for &quot;hat&quot;?,Chapeau,"['Bonnet', ' &Eacute;charpe', ' Casque']"
25,multiple,easy,General Knowledge,Red Vines is a brand of what type of candy?,Licorice,"['Lollipop', 'Chocolate', 'Bubblegum']"
26,multiple,easy,General Knowledge,Which of these Marvel games was released on the Playstation 2?,Spider-Man 2,"['Silver Surfer', 'Howard the Duck', 'Wolverine: Adamantium Rage']"
27,multiple,easy,General Knowledge,"Who invented the first ever chocolate bar, in 1847?",Joseph Fry,"['Andrew Johnson', 'John Cadbury', 'John Tyler']"
28,multiple,easy,General Knowledge,Foie gras is a French delicacy typically made from what part of a duck or goose?,Liver,"['Heart', 'Stomach', 'Intestines']"
29,multiple,easy,General Knowledge,What does a funambulist walk on?,A Tight Rope,"['Broken Glass', 'Balls', 'The Moon']"
30,multiple,easy,General Knowledge,"What does the &#039;S&#039; stand for in the abbreviation SIM, as in SIM card? ",Subscriber,"['Single', 'Secure', 'Solid']"
