,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,hard,Entertainment: Books,Which of these does Charlie NOT read in The Perks of Being a Wallflower?,The Grapes of Wrath,"['Hamlet', 'The Great Gatsby', 'Peter Pan']"
1,multiple,hard,Entertainment: Books,Which of the following is NOT a work done by Shakespeare?,Trial of Temperance,"['Measure For Measure', 'Titus Andronicus', 'Cymbeline']"
2,multiple,hard,Entertainment: Books,"In which classic novel by Mark Twain did a beggar and Prince of Wales switch clothes, and learn about social class inequality?",The Prince and the Pauper,"['Hamlet', 'Wealthy Boy and the Schmuck', 'A Modern Twain Story']"
3,multiple,hard,Entertainment: Books,"In The Lies Of Locke Lamora, what does &quot;Lamora&quot; mean in Throne Therin?",Shadow,"['Thievery', 'Justice', 'Chaos']"
4,multiple,hard,Entertainment: Books,What is Ron Weasley&#039;s middle name?,Bilius,"['Arthur', 'John', 'Dominic']"
5,multiple,hard,Entertainment: Books,"In the book &quot;The Martian&quot;, how long was Mark Watney trapped on Mars (in Sols)?",549 Days,"['765 Days', '401 Days', '324 Days']"
6,multiple,hard,Entertainment: Books,"In the Beatrix Potter books, what type of animal is Tommy Brock?",Badger,"['Fox', 'Frog', 'Rabbit']"
7,multiple,hard,Entertainment: Books,Abel Magwitch is a character from which Charles Dickens novel?,Great Expectations,"['The Pickwick Papers', 'Nicholas Nickleby', 'Oliver Twist']"
8,multiple,hard,Entertainment: Books,"In the Magic: The Gathering universe,  the Antiquities, Ice Age, and Alliances expansions take place on which continent?",Terisiare,"['Aerona', 'Shiv', 'Jamuraa']"
9,multiple,hard,Entertainment: Books,"In Margaret Atwood&#039;s &quot;The Handmaid&#039;s Tale&quot;, what is Offred&#039;s real name is implied to be?",June,"['August', 'April', 'May']"
10,multiple,hard,Entertainment: Books,"In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?",Sarpadia,"['Otaria', 'Terisiare', 'Shiv']"
11,multiple,hard,Entertainment: Books,"In the Harry Potter universe, who does Draco Malfoy end up marrying?",Astoria Greengrass,"['Pansy Parkinson', 'Millicent Bulstrode', 'Hermione Granger']"
12,multiple,hard,Entertainment: Books,"In the &quot;Harry Potter&quot; series, what is Headmaster Dumbledore&#039;s full name?",Albus Percival Wulfric Brian Dumbledore,"['Albus Valum Jetta Mobius Dumbledore', 'Albus James Lunae Otto Dumbledore', 'Albus Valencium Horatio Kul Dumbledore']"
13,multiple,hard,Entertainment: Books,The novel &quot;Jane Eyre&quot; was written by what author? ,Charlotte Bront&euml;,"['Emily Bront&euml;', 'Jane Austen', 'Louisa May Alcott']"
14,multiple,hard,Entertainment: Books,What is the name of the town in which Lily and James Potter are buried?,Godric&#039;s Hollow,"['Hogsmeade', 'Ottery St. Catchpole', 'Little Hangleton']"
15,multiple,hard,Entertainment: Books,"In the book series &quot;Odd Thomas&quot;, Danny Jessup has what genetic disease? ", Osteogenesis Imperfecta,"['Spinocerebellar ataxia', 'Adrenoleukodystrophy', 'Cystic Fibrosis']"
16,multiple,hard,Entertainment: Books,"In the Magic: The Gathering universe, which plane does the Homelands expansion take place in?",Ulgrotha,"['Bant', 'Llanowar', 'Tazeem']"
17,multiple,hard,Entertainment: Books,In which classic novel is there a character named Homer Simpson?,The Day of the Locust,"['Catch-22', 'Of Mice and Men', 'A Separate Peace']"
18,multiple,hard,Entertainment: Books,Where does the book &quot;The Silence of the Lambs&quot; get its title from?,The main character&#039;s trauma in childhood,"['The relation it has with killing the innocents', 'The villain&#039;s favourite meal', 'The voice of innocent people being shut by the powerful']"
19,multiple,hard,Entertainment: Books,What is Hermione Granger&#039;s middle name?,Jean,"['Jane', 'Emma', 'Jo']"
